ticker,n_eventos,menciones_en_eventos,pico_maximo,duracion_media,duracion_max,primer_evento,ultimo_evento
GME,25,1523052,141957,16.5,41,2020-03-11,2026-05-15
AMC,14,669296,110205,10.8,22,2020-04-11,2024-05-15
TSLA,31,647915,8538,14.9,58,2020-02-03,2026-06-17
RDDT,6,444452,7193,69.0,247,2024-03-21,2026-06-04
NVDA,30,336938,6211,19.8,64,2020-02-10,2026-06-02
AAPL,24,276099,3884,14.7,82,2020-01-28,2026-05-01
TWTR,9,172640,7531,20.4,58,2020-02-06,2022-10-07
NOK,10,164010,68913,12.1,22,2020-02-06,2026-05-14
PLTR,22,141170,11306,10.1,35,2020-11-06,2026-04-13
MSFT,26,134053,3098,14.4,93,2020-01-17,2026-06-30
AMD,29,132621,2064,14.4,59,2020-02-18,2026-05-08
BBBY,7,107473,10792,11.1,27,2020-12-29,2023-04-28
INTC,31,80914,3755,10.6,43,2020-04-15,2026-06-22
NFLX,28,74103,5573,10.7,56,2020-01-21,2026-06-30
HOOD,16,66946,3954,17.9,121,2021-07-29,2026-06-17
SPCE,16,59711,3594,9.4,20,2020-01-22,2026-06-02
SNDL,7,50244,12488,14.7,30,2020-11-06,2024-05-16
NIO,14,48946,5035,13.9,22,2020-06-03,2024-10-08
RKT,7,48117,13394,7.1,16,2020-08-06,2025-07-23
BABA,20,46917,2601,11.6,44,2020-04-16,2025-04-16
AMZN,17,45721,2241,12.4,41,2020-04-13,2026-04-30
BB,9,43514,5247,16.0,33,2020-12-01,2026-06-04
TLRY,14,41273,6760,10.8,36,2020-11-06,2025-12-19
NKLA,9,40810,3009,12.1,24,2020-06-04,2024-04-01
WMT,23,38734,2741,9.3,25,2020-02-14,2026-06-05
CLOV,10,37938,8244,8.4,21,2021-01-08,2025-07-23
PYPL,18,35135,1720,13.8,43,2020-01-29,2026-02-04
CLNE,2,30657,5829,27.5,38,2021-04-19,2021-06-18
DIS,15,28362,1467,13.7,31,2020-01-31,2024-08-09
SMCI,7,28294,3438,12.4,36,2024-01-19,2026-05-08
META,13,27410,1255,18.8,62,2022-06-09,2026-01-29
MVIS,9,27175,3341,7.8,14,2020-05-01,2023-06-08
BA,10,26922,1079,12.5,54,2020-03-11,2025-04-24
GOOG,30,26706,667,9.8,48,2020-01-31,2026-06-25
ATER,2,24872,816,43.5,55,2021-08-27,2022-04-29
WISH,6,23992,6986,7.7,15,2021-01-27,2022-08-22
MSTR,9,23979,2531,22.8,61,2021-02-08,2026-06-08
ASTS,15,23527,1483,14.3,30,2021-04-07,2026-06-02
NAKD,3,22623,9701,10.0,19,2021-01-27,2021-09-07
PROG,1,22364,1209,71.0,71,2021-09-14,2021-11-23
CLF,5,22359,3905,13.4,18,2020-12-15,2021-11-08
COIN,18,21937,987,11.1,41,2021-08-10,2026-02-13
WKHS,5,21404,2905,17.0,37,2020-06-24,2021-09-02
GOOGL,26,21213,541,11.8,38,2020-01-31,2026-06-30
APHA,6,20479,5543,11.3,21,2020-05-21,2021-02-11
DKNG,10,20159,1684,7.4,12,2020-04-24,2024-02-16
DJT,7,19894,3019,12.6,30,2024-03-26,2026-04-21
BYND,11,19514,4583,8.3,23,2020-04-21,2025-10-24
CRSR,6,19486,2210,9.7,26,2020-10-20,2026-05-29
UNH,4,18546,2931,11.2,15,2024-12-04,2025-11-03
