ticker,fecha_inicio,fecha_pico,fecha_fin,duracion_dias,dias_a_pico,menciones_pico,menciones_evento,base_previa_mu,z_inicio,amplitud,censurado,regimen_lento,ancla_E3
AMC,2020-04-11,2020-04-17,2020-04-21,11,6,191,950,23.83,6.8,8.0,False,False,True
AMC,2020-05-11,2020-05-11,2020-05-13,3,0,483,855,53.9,7.8,9.0,False,False,True
AMC,2020-10-13,2020-10-19,2020-11-03,22,6,137,1136,6.93,7.7,19.8,False,False,True
AMC,2021-01-15,2021-01-28,2021-02-03,20,13,110205,504049,25.6,7.5,4304.9,False,False,True
AMC,2021-05-11,2021-05-14,2021-05-18,8,3,7027,23152,964.0,4.1,7.3,False,False,True
AMC,2021-05-27,2021-06-03,2021-06-10,15,7,17697,113082,1663.8,8.3,10.6,False,False,True
AMC,2021-12-13,2021-12-17,2021-12-20,8,4,539,2624,166.37,4.4,3.2,False,False,True
AMC,2022-03-23,2022-03-29,2022-04-04,13,6,870,4728,121.73,5.5,7.1,False,False,True
AMC,2022-08-04,2022-08-05,2022-08-23,20,1,1120,9885,68.87,11.8,16.3,False,False,True
AMC,2022-11-08,2022-11-08,2022-11-16,9,0,257,1028,49.4,7.5,5.2,False,False,True
AMC,2022-12-22,2022-12-22,2022-12-27,6,0,371,758,36.87,13.1,10.1,False,False,True
AMC,2023-02-27,2023-02-28,2023-03-01,3,1,328,619,43.0,6.9,7.6,False,False,True
AMC,2023-07-21,2023-07-24,2023-07-25,5,3,587,1333,15.57,24.8,37.7,False,False,True
AMC,2024-05-08,2024-05-14,2024-05-15,8,6,2733,5097,24.53,5.1,111.4,False,False,True
BB,2020-12-01,2020-12-01,2020-12-07,7,0,314,785,4.57,103.9,68.7,False,False,True
BB,2021-01-14,2021-01-27,2021-02-01,19,13,5247,31069,25.2,32.2,208.2,False,False,True
BB,2021-05-26,2021-06-03,2021-06-09,15,8,2265,9036,27.87,10.0,81.3,False,False,True
BB,2021-08-24,2021-08-25,2021-09-09,17,1,77,524,16.33,4.3,4.7,False,False,True
BB,2022-08-08,2022-08-16,2022-09-09,33,8,34,415,6.2,6.5,5.5,False,False,True
BB,2024-04-03,2024-04-03,2024-04-23,21,0,49,371,7.8,7.9,6.3,False,False,True
BB,2024-05-13,2024-05-14,2024-05-15,3,1,300,531,9.9,5.5,30.3,False,False,True
BB,2025-02-05,2025-02-19,2025-02-19,15,14,66,345,4.47,8.8,14.8,False,False,True
BB,2026-05-22,2026-05-26,2026-06-04,14,4,59,438,7.63,8.9,7.7,False,False,True
BBBY,2020-12-29,2021-01-06,2021-01-07,10,8,179,812,3.8,19.4,47.1,False,False,True
BBBY,2021-01-25,2021-01-27,2021-01-29,5,2,1809,6030,95.8,5.9,18.9,False,False,True
BBBY,2021-05-27,2021-06-02,2021-06-03,8,6,587,1106,5.73,7.7,102.4,False,False,True
BBBY,2022-06-29,2022-07-05,2022-07-06,8,6,1288,3044,42.4,19.4,30.4,False,False,True
BBBY,2022-08-05,2022-08-18,2022-08-31,27,13,10792,88965,83.17,19.4,129.8,False,False,True
BBBY,2023-01-05,2023-01-13,2023-01-18,14,8,1388,5695,40.27,13.3,34.5,False,False,True
BBBY,2023-04-23,2023-04-24,2023-04-28,6,1,454,1821,50.93,13.6,8.9,False,False,True
CLOV,2021-01-08,2021-01-27,2021-01-28,21,19,131,751,0.0,56.0,131.0,False,False,True
CLOV,2021-02-04,2021-02-04,2021-02-09,6,0,450,1098,30.1,14.5,15.0,False,False,True
CLOV,2021-04-16,2021-04-19,2021-04-21,6,3,979,3188,7.1,70.8,137.9,False,False,True
CLOV,2021-06-02,2021-06-08,2021-06-11,10,6,8244,26945,133.6,5.7,61.7,False,False,True
CLOV,2021-09-07,2021-09-07,2021-09-09,3,0,1228,2573,232.97,4.8,5.3,False,False,True
CLOV,2022-02-23,2022-02-23,2022-02-28,6,0,141,316,18.53,11.5,7.6,False,False,True
CLOV,2022-08-08,2022-08-08,2022-08-24,17,0,77,459,7.23,9.2,10.7,False,False,True
CLOV,2024-08-14,2024-08-19,2024-08-22,9,5,389,1386,4.0,13.0,97.2,False,False,True
CLOV,2024-10-02,2024-10-03,2024-10-04,3,1,168,358,6.97,10.0,24.1,False,False,True
CLOV,2025-07-21,2025-07-23,2025-07-23,3,2,787,864,2.7,12.4,291.5,False,False,True
DJT,2024-03-26,2024-03-26,2024-04-01,7,0,3019,6795,0.0,3019.0,3019.0,False,False,True
DJT,2024-09-11,2024-09-11,2024-09-25,15,0,273,1332,34.0,10.2,8.0,False,False,True
DJT,2024-10-14,2024-10-15,2024-10-16,3,1,457,931,58.93,4.5,7.8,False,False,True
DJT,2024-10-28,2024-11-06,2024-11-08,12,9,1054,5438,87.03,4.1,12.1,False,False,True
DJT,2025-01-06,2025-01-13,2025-01-23,18,7,730,3777,12.57,5.5,58.1,False,False,True
DJT,2025-04-09,2025-04-09,2025-04-11,3,0,397,906,33.67,17.3,11.8,False,False,True
DJT,2026-03-23,2026-03-31,2026-04-21,30,8,52,715,12.67,4.9,4.1,False,False,True
DWAC,2021-10-21,2021-10-22,2021-10-26,6,1,2193,5898,2.8,127.7,783.2,False,False,False
DWAC,2021-12-02,2021-12-08,2021-12-09,8,6,221,982,53.3,4.1,4.1,False,False,False
DWAC,2022-01-12,2022-01-18,2022-01-20,9,6,292,1071,30.1,4.5,9.7,False,False,False
DWAC,2022-04-25,2022-04-25,2022-04-29,5,0,222,593,30.43,6.5,7.3,False,False,False
DWAC,2022-09-06,2022-09-06,2022-09-08,3,0,291,501,13.03,30.9,22.3,False,False,False
DWAC,2022-11-07,2022-11-07,2022-11-20,14,0,142,909,7.63,17.6,18.6,False,False,False
DWAC,2024-01-16,2024-01-22,2024-01-24,9,6,399,1102,1.03,22.2,387.4,False,False,False
DWAC,2024-03-19,2024-03-22,2024-03-25,7,3,1047,4062,10.33,26.9,101.4,False,False,False
GME,2020-03-11,2020-04-14,2020-04-20,41,34,491,3593,12.0,4.7,40.9,False,False,True
GME,2020-06-08,2020-06-09,2020-06-10,3,1,788,1446,14.4,24.7,54.7,False,False,True
GME,2020-08-31,2020-09-22,2020-10-01,32,22,411,3870,11.23,15.8,36.6,False,False,True
GME,2020-11-27,2020-11-30,2020-12-09,13,3,4079,20672,215.67,6.4,18.9,False,False,True
GME,2021-01-13,2021-01-28,2021-02-04,23,15,141957,865463,1143.3,11.6,124.2,False,False,True
GME,2021-05-27,2021-05-27,2021-06-10,15,0,16151,143912,6305.13,4.1,2.6,False,False,True
GME,2021-08-24,2021-08-24,2021-08-26,3,0,5324,12957,2327.67,4.1,2.3,False,False,True
GME,2021-10-29,2021-10-29,2021-11-11,14,0,6020,51211,2367.1,5.6,2.5,False,False,True
GME,2022-03-17,2022-03-23,2022-04-13,28,6,9033,132240,2511.2,4.3,3.6,False,False,True
GME,2022-07-07,2022-07-07,2022-07-14,8,0,7153,34686,2537.27,4.7,2.8,False,False,True
GME,2023-03-15,2023-03-22,2023-04-05,22,7,4333,36254,790.4,4.4,5.5,False,False,True
GME,2023-06-07,2023-06-07,2023-06-15,9,0,2814,10982,727.37,9.6,3.9,False,False,True
GME,2023-09-06,2023-09-06,2023-09-20,15,0,898,8102,333.0,5.3,2.7,False,False,True
GME,2023-11-29,2023-12-07,2023-12-08,10,8,1356,7030,375.1,6.5,3.6,False,False,True
GME,2024-03-26,2024-03-26,2024-04-22,28,0,1398,14473,308.63,12.3,4.5,False,False,True
GME,2024-05-13,2024-06-07,2024-06-18,37,25,9307,105897,407.4,21.5,22.8,False,False,True
GME,2024-09-10,2024-09-11,2024-09-13,4,1,2061,5525,442.03,7.4,4.7,False,False,True
GME,2024-11-06,2024-11-06,2024-11-29,24,0,695,11301,277.5,4.3,2.5,False,False,True
GME,2025-02-18,2025-02-18,2025-02-25,8,0,887,3936,347.1,4.4,2.6,False,False,True
GME,2025-03-25,2025-03-26,2025-04-17,24,1,1492,14975,258.6,5.7,5.8,False,False,True
GME,2025-07-29,2025-07-29,2025-07-31,3,0,656,1804,242.33,4.2,2.7,False,False,True
GME,2025-09-09,2025-09-10,2025-09-18,10,1,1658,6825,197.13,13.6,8.4,False,False,True
GME,2026-01-26,2026-02-03,2026-02-10,16,8,812,7278,187.93,4.4,4.3,False,False,True
GME,2026-03-24,2026-03-24,2026-03-31,8,0,340,1925,132.6,4.4,2.6,False,False,True
GME,2026-05-01,2026-05-12,2026-05-15,15,11,2653,16695,152.07,7.3,17.4,False,False,True
HTZ,2020-04-29,2020-05-04,2020-05-07,9,5,129,566,4.97,16.3,26.0,False,False,True
HTZ,2020-05-22,2020-05-26,2020-05-28,7,4,371,1591,32.7,5.1,11.3,False,False,True
HTZ,2020-06-05,2020-06-08,2020-06-18,14,3,1066,8689,84.53,4.1,12.6,False,False,True
HTZ,2020-10-16,2020-10-16,2020-10-19,4,0,652,1154,19.87,49.2,32.8,False,False,True
HTZ,2025-04-16,2025-04-17,2025-04-21,6,1,173,407,1.03,83.3,168.0,False,False,True
NKLA,2020-06-04,2020-06-08,2020-06-10,7,4,3009,7768,0.0,916.0,3009.0,False,False,True
NKLA,2020-08-04,2020-08-04,2020-08-10,7,0,809,2730,219.77,4.2,3.7,False,False,True
NKLA,2020-09-08,2020-09-14,2020-10-01,24,6,2294,21804,93.5,12.3,24.5,False,False,True
NKLA,2020-11-24,2020-11-30,2020-12-03,10,6,1024,4008,100.2,4.8,10.2,False,False,True
NKLA,2021-05-27,2021-05-27,2021-06-17,22,0,167,1394,43.43,6.0,3.8,False,False,True
NKLA,2021-07-29,2021-07-29,2021-08-03,6,0,379,950,20.57,36.8,18.4,False,False,True
NKLA,2021-10-27,2021-11-04,2021-11-17,22,8,161,1173,16.13,4.0,10.0,False,False,True
NKLA,2023-06-13,2023-06-15,2023-06-16,4,2,190,456,4.87,9.0,39.0,False,False,True
NKLA,2024-03-26,2024-03-28,2024-04-01,7,2,226,527,5.47,5.7,41.3,False,False,True
