ticker,fecha_hecho,fecha,dias_desde_hecho,menciones
GME,2021-01-11,2021-01-04,-7,1346
GME,2021-01-11,2021-01-05,-6,1107
GME,2021-01-11,2021-01-06,-5,1015
GME,2021-01-11,2021-01-07,-4,843
GME,2021-01-11,2021-01-08,-3,925
GME,2021-01-11,2021-01-09,-2,355
GME,2021-01-11,2021-01-10,-1,578
GME,2021-01-11,2021-01-11,0,2143
GME,2021-01-11,2021-01-12,1,1095
GME,2021-01-11,2021-01-13,2,10102
GME,2021-01-11,2021-01-14,3,13383
GME,2021-01-11,2021-01-15,4,13740
GME,2021-01-11,2021-01-16,5,3874
GME,2021-01-11,2021-01-17,6,2866
GME,2021-01-11,2021-01-18,7,4839
GME,2021-01-28,2021-01-21,-7,9275
GME,2021-01-28,2021-01-22,-6,18534
GME,2021-01-28,2021-01-23,-5,10931
GME,2021-01-28,2021-01-24,-4,8640
GME,2021-01-28,2021-01-25,-3,31120
GME,2021-01-28,2021-01-26,-2,44090
GME,2021-01-28,2021-01-27,-1,103957
GME,2021-01-28,2021-01-28,0,141957
GME,2021-01-28,2021-01-29,1,92145
GME,2021-01-28,2021-01-30,2,62075
GME,2021-01-28,2021-01-31,3,56629
GME,2021-01-28,2021-02-01,4,74746
GME,2021-01-28,2021-02-02,5,71427
GME,2021-01-28,2021-02-03,6,36105
GME,2021-01-28,2021-02-04,7,38451
AMC,2021-01-28,2021-01-21,-7,76
AMC,2021-01-28,2021-01-22,-6,1166
AMC,2021-01-28,2021-01-23,-5,241
AMC,2021-01-28,2021-01-24,-4,174
AMC,2021-01-28,2021-01-25,-3,3847
AMC,2021-01-28,2021-01-26,-2,1956
AMC,2021-01-28,2021-01-27,-1,98246
AMC,2021-01-28,2021-01-28,0,110205
AMC,2021-01-28,2021-01-29,1,73637
AMC,2021-01-28,2021-01-30,2,37297
AMC,2021-01-28,2021-01-31,3,28557
AMC,2021-01-28,2021-02-01,4,61159
AMC,2021-01-28,2021-02-02,5,53052
AMC,2021-01-28,2021-02-03,6,33524
AMC,2021-01-28,2021-02-04,7,22211
NOK,2021-01-28,2021-01-21,-7,549
NOK,2021-01-28,2021-01-22,-6,442
NOK,2021-01-28,2021-01-23,-5,327
NOK,2021-01-28,2021-01-24,-4,456
NOK,2021-01-28,2021-01-25,-3,6096
NOK,2021-01-28,2021-01-26,-2,8014
NOK,2021-01-28,2021-01-27,-1,68913
NOK,2021-01-28,2021-01-28,0,45422
NOK,2021-01-28,2021-01-29,1,19817
NOK,2021-01-28,2021-01-30,2,9504
NOK,2021-01-28,2021-01-31,3,6444
NOK,2021-01-28,2021-02-01,4,10358
NOK,2021-01-28,2021-02-02,5,6151
NOK,2021-01-28,2021-02-03,6,4059
NOK,2021-01-28,2021-02-04,7,2727
BB,2021-01-28,2021-01-21,-7,736
BB,2021-01-28,2021-01-22,-6,1140
BB,2021-01-28,2021-01-23,-5,794
BB,2021-01-28,2021-01-24,-4,480
BB,2021-01-28,2021-01-25,-3,2426
BB,2021-01-28,2021-01-26,-2,2954
BB,2021-01-28,2021-01-27,-1,5247
BB,2021-01-28,2021-01-28,0,4853
BB,2021-01-28,2021-01-29,1,3075
BB,2021-01-28,2021-01-30,2,1979
BB,2021-01-28,2021-01-31,3,1467
BB,2021-01-28,2021-02-01,4,1717
BB,2021-01-28,2021-02-02,5,1087
BB,2021-01-28,2021-02-03,6,666
BB,2021-01-28,2021-02-04,7,553
HTZ,2020-05-22,2020-05-15,-7,11
HTZ,2020-05-22,2020-05-16,-6,32
HTZ,2020-05-22,2020-05-17,-5,20
HTZ,2020-05-22,2020-05-18,-4,32
HTZ,2020-05-22,2020-05-19,-3,24
HTZ,2020-05-22,2020-05-20,-2,32
HTZ,2020-05-22,2020-05-21,-1,26
HTZ,2020-05-22,2020-05-22,0,192
HTZ,2020-05-22,2020-05-23,1,363
HTZ,2020-05-22,2020-05-24,2,144
HTZ,2020-05-22,2020-05-25,3,105
HTZ,2020-05-22,2020-05-26,4,371
HTZ,2020-05-22,2020-05-27,5,259
HTZ,2020-05-22,2020-05-28,6,157
HTZ,2020-05-22,2020-05-29,7,81
NKLA,2020-09-08,2020-09-01,-7,107
NKLA,2020-09-08,2020-09-02,-6,108
NKLA,2020-09-08,2020-09-03,-5,55
NKLA,2020-09-08,2020-09-04,-4,29
NKLA,2020-09-08,2020-09-05,-3,36
NKLA,2020-09-08,2020-09-06,-2,39
NKLA,2020-09-08,2020-09-07,-1,25
NKLA,2020-09-08,2020-09-08,0,1001
NKLA,2020-09-08,2020-09-09,1,386
NKLA,2020-09-08,2020-09-10,2,936
NKLA,2020-09-08,2020-09-11,3,1540
NKLA,2020-09-08,2020-09-12,4,862
NKLA,2020-09-08,2020-09-13,5,463
NKLA,2020-09-08,2020-09-14,6,2294
NKLA,2020-09-08,2020-09-15,7,1741
NKLA,2020-09-10,2020-09-03,-7,55
NKLA,2020-09-10,2020-09-04,-6,29
NKLA,2020-09-10,2020-09-05,-5,36
NKLA,2020-09-10,2020-09-06,-4,39
NKLA,2020-09-10,2020-09-07,-3,25
NKLA,2020-09-10,2020-09-08,-2,1001
NKLA,2020-09-10,2020-09-09,-1,386
NKLA,2020-09-10,2020-09-10,0,936
NKLA,2020-09-10,2020-09-11,1,1540
NKLA,2020-09-10,2020-09-12,2,862
NKLA,2020-09-10,2020-09-13,3,463
NKLA,2020-09-10,2020-09-14,4,2294
NKLA,2020-09-10,2020-09-15,5,1741
NKLA,2020-09-10,2020-09-16,6,1585
NKLA,2020-09-10,2020-09-17,7,920
BBBY,2022-08-16,2022-08-09,-7,3755
BBBY,2022-08-16,2022-08-10,-6,2382
BBBY,2022-08-16,2022-08-11,-5,1633
BBBY,2022-08-16,2022-08-12,-4,3129
BBBY,2022-08-16,2022-08-13,-3,1201
BBBY,2022-08-16,2022-08-14,-2,1230
BBBY,2022-08-16,2022-08-15,-1,4746
BBBY,2022-08-16,2022-08-16,0,8907
BBBY,2022-08-16,2022-08-17,1,9041
BBBY,2022-08-16,2022-08-18,2,10792
BBBY,2022-08-16,2022-08-19,3,8307
BBBY,2022-08-16,2022-08-20,4,2705
BBBY,2022-08-16,2022-08-21,5,2093
BBBY,2022-08-16,2022-08-22,6,2558
BBBY,2022-08-16,2022-08-23,7,1879
BBBY,2022-08-18,2022-08-11,-7,1633
BBBY,2022-08-18,2022-08-12,-6,3129
BBBY,2022-08-18,2022-08-13,-5,1201
BBBY,2022-08-18,2022-08-14,-4,1230
BBBY,2022-08-18,2022-08-15,-3,4746
BBBY,2022-08-18,2022-08-16,-2,8907
BBBY,2022-08-18,2022-08-17,-1,9041
BBBY,2022-08-18,2022-08-18,0,10792
BBBY,2022-08-18,2022-08-19,1,8307
BBBY,2022-08-18,2022-08-20,2,2705
BBBY,2022-08-18,2022-08-21,3,2093
BBBY,2022-08-18,2022-08-22,4,2558
BBBY,2022-08-18,2022-08-23,5,1879
BBBY,2022-08-18,2022-08-24,6,3026
BBBY,2022-08-18,2022-08-25,7,1715
RDDT,2024-03-21,2024-03-14,-7,0
RDDT,2024-03-21,2024-03-15,-6,0
RDDT,2024-03-21,2024-03-16,-5,0
RDDT,2024-03-21,2024-03-17,-4,0
RDDT,2024-03-21,2024-03-18,-3,0
RDDT,2024-03-21,2024-03-19,-2,0
RDDT,2024-03-21,2024-03-20,-1,0
RDDT,2024-03-21,2024-03-21,0,3885
RDDT,2024-03-21,2024-03-22,1,1779
RDDT,2024-03-21,2024-03-23,2,821
RDDT,2024-03-21,2024-03-24,3,609
RDDT,2024-03-21,2024-03-25,4,2026
RDDT,2024-03-21,2024-03-26,5,2311
RDDT,2024-03-21,2024-03-27,6,2035
RDDT,2024-03-21,2024-03-28,7,1621
DWAC,2021-10-20,2021-10-13,-7,0
DWAC,2021-10-20,2021-10-14,-6,0
DWAC,2021-10-20,2021-10-15,-5,1
DWAC,2021-10-20,2021-10-16,-4,2
DWAC,2021-10-20,2021-10-17,-3,4
DWAC,2021-10-20,2021-10-18,-2,1
DWAC,2021-10-20,2021-10-19,-1,1
DWAC,2021-10-20,2021-10-20,0,0
DWAC,2021-10-20,2021-10-21,1,865
DWAC,2021-10-20,2021-10-22,2,2193
DWAC,2021-10-20,2021-10-23,3,640
DWAC,2021-10-20,2021-10-24,4,504
DWAC,2021-10-20,2021-10-25,5,987
DWAC,2021-10-20,2021-10-26,6,709
DWAC,2021-10-20,2021-10-27,7,392
DWAC,2024-03-25,2024-03-18,-7,6
DWAC,2024-03-25,2024-03-19,-6,287
DWAC,2024-03-25,2024-03-20,-5,861
DWAC,2024-03-25,2024-03-21,-4,523
DWAC,2024-03-25,2024-03-22,-3,1047
DWAC,2024-03-25,2024-03-23,-2,203
DWAC,2024-03-25,2024-03-24,-1,104
DWAC,2024-03-25,2024-03-25,0,1037
DWAC,2024-03-25,2024-03-26,1,0
DWAC,2024-03-25,2024-03-27,2,0
DWAC,2024-03-25,2024-03-28,3,0
DWAC,2024-03-25,2024-03-29,4,0
DWAC,2024-03-25,2024-03-30,5,0
DWAC,2024-03-25,2024-03-31,6,0
DWAC,2024-03-25,2024-04-01,7,0
DJT,2024-03-26,2024-03-19,-7,0
DJT,2024-03-26,2024-03-20,-6,0
DJT,2024-03-26,2024-03-21,-5,0
DJT,2024-03-26,2024-03-22,-4,0
DJT,2024-03-26,2024-03-23,-3,0
DJT,2024-03-26,2024-03-24,-2,0
DJT,2024-03-26,2024-03-25,-1,0
