evento_id,ticker,fecha_inicio,fecha_pico,fecha_fin_retrospectivo,fecha_confirmacion,dias_fin_a_confirmacion,duracion_dias,menciones_evento,dia_300_menciones,fecha_300_menciones,dia_elegibilidad,fecha_elegibilidad,muere_el_dia_de_elegibilidad,n_subepisodios_fusionados,z_inicio,base_previa_mu,censurado,principal
AACG_2021-02-04,AACG,2021-02-04,2021-02-05,2021-02-05,2021-02-10,5.0,2,1105,0.0,2021-02-04,2.0,2021-02-06,False,1,96.4,4.4,False,False
AACQ_2020-12-08,AACQ,2020-12-08,2020-12-08,2020-12-16,2020-12-21,5.0,9,190,,,,,False,1,7.4,2.73,False,False
AACQ_2020-12-28,AACQ,2020-12-28,2020-12-28,2020-12-31,2021-01-05,5.0,4,194,,,,,False,1,4.7,14.07,False,False
AACQ_2021-02-13,AACQ,2021-02-13,2021-02-13,2021-02-18,2021-02-23,5.0,6,420,3.0,2021-02-16,3.0,2021-02-16,False,1,12.9,21.93,False,True
AAL_2020-02-25,AAL,2020-02-25,2020-03-16,2020-03-19,2020-03-24,5.0,24,4722,2.0,2020-02-27,2.0,2020-02-27,False,1,8.4,4.9,False,True
AAL_2020-05-04,AAL,2020-05-04,2020-05-04,2020-05-05,2020-05-10,5.0,2,367,1.0,2020-05-05,2.0,2020-05-06,False,1,5.4,66.6,False,False
AAL_2020-06-04,AAL,2020-06-04,2020-06-05,2020-06-05,2020-06-10,5.0,2,2163,0.0,2020-06-04,2.0,2020-06-06,False,1,31.2,51.27,False,False
AAL_2020-08-05,AAL,2020-08-05,2020-08-05,2020-08-11,2020-08-16,5.0,7,1059,0.0,2020-08-05,2.0,2020-08-07,False,1,6.6,60.33,False,True
AAL_2020-09-25,AAL,2020-09-25,2020-09-25,2020-10-08,2020-10-13,5.0,14,799,3.0,2020-09-28,3.0,2020-09-28,False,1,4.7,28.5,False,True
AAL_2020-11-09,AAL,2020-11-09,2020-11-09,2020-11-10,2020-11-15,5.0,2,271,,,,,False,1,15.2,16.43,False,False
AAL_2021-01-27,AAL,2021-01-27,2021-01-28,2021-01-29,2021-02-03,5.0,3,2611,0.0,2021-01-27,2.0,2021-01-29,True,1,36.1,13.37,False,True
AAL_2021-07-14,AAL,2021-07-14,2021-07-21,2021-07-21,2021-07-26,5.0,8,162,,,,,False,1,4.5,11.0,False,False
AAL_2021-08-20,AAL,2021-08-20,2021-08-20,2021-08-20,2021-08-25,5.0,1,192,,,,,False,1,23.1,6.23,False,False
AAL_2021-11-26,AAL,2021-11-26,2021-11-26,2021-12-06,2021-12-11,5.0,11,152,,,,,False,1,5.0,5.37,False,False
AAL_2022-04-20,AAL,2022-04-20,2022-04-21,2022-04-22,2022-04-27,5.0,3,102,,,,,False,1,7.9,3.93,False,False
AAL_2022-10-20,AAL,2022-10-20,2022-10-20,2022-10-20,2022-10-25,5.0,1,36,,,,,False,1,12.3,2.23,False,False
AAL_2025-01-22,AAL,2025-01-22,2025-01-23,2025-01-23,2025-01-28,5.0,2,99,,,,,False,1,14.0,1.1,False,False
AAL_2025-01-30,AAL,2025-01-30,2025-01-30,2025-01-30,2025-02-04,5.0,1,63,,,,,False,1,4.5,4.43,False,False
AAM_2024-09-18,AAM,2024-09-18,2024-09-18,2024-09-23,2024-09-28,5.0,6,87,,,,,False,1,16.7,0.5,False,False
AAME_2021-02-05,AAME,2021-02-05,2021-02-05,2021-02-05,2021-02-10,5.0,1,679,0.0,2021-02-05,2.0,2021-02-07,False,1,679.0,0.03,False,False
AAP_2021-02-19,AAP,2021-02-19,2021-02-19,2021-02-19,2021-02-24,5.0,1,337,0.0,2021-02-19,2.0,2021-02-21,False,1,222.8,1.27,False,False
AAP_2022-05-23,AAP,2022-05-23,2022-05-23,2022-05-24,2022-05-29,5.0,2,114,,,,,False,1,23.4,1.23,False,False
AAP_2023-05-31,AAP,2023-05-31,2023-05-31,2023-06-01,2023-06-06,5.0,2,116,,,,,False,1,31.3,0.77,False,False
AAP_2024-02-27,AAP,2024-02-27,2024-02-27,2024-02-28,2024-03-04,5.0,2,55,,,,,False,1,31.8,0.73,False,False
AAP_2025-05-22,AAP,2025-05-22,2025-05-22,2025-05-23,2025-05-28,5.0,2,47,,,,,False,1,33.7,0.3,False,False
AAPL_2020-01-28,AAPL,2020-01-28,2020-01-28,2020-02-03,2020-02-08,5.0,7,3427,0.0,2020-01-28,2.0,2020-01-30,False,1,7.6,263.07,False,True
AAPL_2020-04-17,AAPL,2020-04-17,2020-04-30,2020-05-01,2020-05-06,5.0,15,6678,0.0,2020-04-17,2.0,2020-04-19,False,1,7.4,216.4,False,True
AAPL_2020-06-23,AAPL,2020-06-23,2020-06-23,2020-06-25,2020-06-30,5.0,3,2732,0.0,2020-06-23,2.0,2020-06-25,True,1,6.7,277.43,False,True
AAPL_2020-07-30,AAPL,2020-07-30,2020-09-15,2020-09-23,2020-09-28,5.0,56,88768,0.0,2020-07-30,2.0,2020-08-01,False,1,6.8,468.97,False,True
AAPL_2020-12-21,AAPL,2020-12-21,2020-12-22,2021-03-12,2021-03-17,5.0,82,78559,0.0,2020-12-21,2.0,2020-12-23,False,1,4.9,508.23,False,True
AAPL_2021-07-14,AAPL,2021-07-14,2021-07-14,2021-07-15,2021-07-20,5.0,2,1675,0.0,2021-07-14,2.0,2021-07-16,False,1,4.9,361.53,False,False
AAPL_2021-09-10,AAPL,2021-09-10,2021-09-10,2021-09-15,2021-09-20,5.0,6,3690,0.0,2021-09-10,2.0,2021-09-12,False,1,8.1,270.03,False,True
AAPL_2021-10-28,AAPL,2021-10-28,2021-10-28,2021-11-01,2021-11-06,5.0,5,3158,0.0,2021-10-28,2.0,2021-10-30,False,1,8.1,253.5,False,True
