date,GME_comments
2020-01-01,8
2020-01-02,27
2020-01-03,5
2020-01-04,3
2020-01-05,4
2020-01-06,4
2020-01-07,1
2020-01-08,15
2020-01-09,11
2020-01-10,7
2020-01-11,1
2020-01-12,4
2020-01-13,16
2020-01-14,22
2020-01-15,16
2020-01-16,3
2020-01-17,6
2020-01-18,4
2020-01-19,4
2020-01-20,3
2020-01-21,8
2020-01-22,3
2020-01-23,7
2020-01-24,33
2020-01-25,8
2020-01-26,2
2020-01-27,6
2020-01-28,22
2020-01-29,5
2020-01-30,0
2020-01-31,8
2020-02-01,14
2020-02-02,1
2020-02-03,5
2020-02-04,4
2020-02-05,15
2020-02-06,10
2020-02-07,7
2020-02-08,2
2020-02-09,6
2020-02-10,7
2020-02-11,3
2020-02-12,7
2020-02-13,7
2020-02-14,8
2020-02-15,8
2020-02-16,1
2020-02-17,2
2020-02-18,32
2020-02-19,5
2020-02-20,16
2020-02-21,7
2020-02-22,23
2020-02-23,4
2020-02-24,9
2020-02-25,20
2020-02-26,14
2020-02-27,7
2020-02-28,10
2020-02-29,15
2020-03-01,3
2020-03-02,9
2020-03-03,6
2020-03-04,9
2020-03-05,10
2020-03-06,18
2020-03-07,9
2020-03-08,3
2020-03-09,22
2020-03-10,34
2020-03-11,50
2020-03-12,33
2020-03-13,41
2020-03-14,9
2020-03-15,12
2020-03-16,42
2020-03-17,40
2020-03-18,39
2020-03-19,62
2020-03-20,199
2020-03-21,100
2020-03-22,118
2020-03-23,126
2020-03-24,80
2020-03-25,56
2020-03-26,165
2020-03-27,142
2020-03-28,51
2020-03-29,51
2020-03-30,39
2020-03-31,30
2020-04-01,202
2020-04-02,87
2020-04-03,69
2020-04-04,15
2020-04-05,24
2020-04-06,69
2020-04-07,20
2020-04-08,30
2020-04-09,70
2020-04-10,16
2020-04-11,20
2020-04-12,15
2020-04-13,196
2020-04-14,471
2020-04-15,221
2020-04-16,89
2020-04-17,83
2020-04-18,29
2020-04-19,59
2020-04-20,154
2020-04-21,67
2020-04-22,39
2020-04-23,58
2020-04-24,15
2020-04-25,11
2020-04-26,16
2020-04-27,105
2020-04-28,81
2020-04-29,75
2020-04-30,30
2020-05-01,59
2020-05-02,6
2020-05-03,52
2020-05-04,30
2020-05-05,27
2020-05-06,16
2020-05-07,46
2020-05-08,15
2020-05-09,5
2020-05-10,6
2020-05-11,9
2020-05-12,8
2020-05-13,7
2020-05-14,11
2020-05-15,12
2020-05-16,6
2020-05-17,3
2020-05-18,14
2020-05-19,5
2020-05-20,16
2020-05-21,12
2020-05-22,21
2020-05-23,11
2020-05-24,13
2020-05-25,14
2020-05-26,19
2020-05-27,22
2020-05-28,17
2020-05-29,9
2020-05-30,11
2020-05-31,28
2020-06-01,14
2020-06-02,6
2020-06-03,10
2020-06-04,23
2020-06-05,26
2020-06-06,23
2020-06-07,24
2020-06-08,206
2020-06-09,779
2020-06-10,424
2020-06-11,75
2020-06-12,42
2020-06-13,21
2020-06-14,11
2020-06-15,27
2020-06-16,12
2020-06-17,46
2020-06-18,34
2020-06-19,40
2020-06-20,5
2020-06-21,2
2020-06-22,19
2020-06-23,17
2020-06-24,12
2020-06-25,9
2020-06-26,11
2020-06-27,7
2020-06-28,2
2020-06-29,1
2020-06-30,1
2020-07-01,7
2020-07-02,3
2020-07-03,6
2020-07-04,1
2020-07-05,1
2020-07-06,4
2020-07-07,3
2020-07-08,9
2020-07-09,6
2020-07-10,3
2020-07-11,3
2020-07-12,5
2020-07-13,3
2020-07-14,6
2020-07-15,48
2020-07-16,24
2020-07-17,10
2020-07-18,4
2020-07-19,5
2020-07-20,2
2020-07-21,8
2020-07-22,6
2020-07-23,2
2020-07-24,2
2020-07-25,5
2020-07-26,1
2020-07-27,1
2020-07-28,1
2020-07-29,1
2020-07-30,31
2020-07-31,5
2020-08-01,6
2020-08-02,3
2020-08-03,2
2020-08-04,37
2020-08-05,36
2020-08-06,8
2020-08-07,6
2020-08-08,4
2020-08-09,3
2020-08-10,7
2020-08-11,7
2020-08-12,16
2020-08-13,9
2020-08-14,10
2020-08-15,8
2020-08-16,0
2020-08-17,3
2020-08-18,11
2020-08-19,19
2020-08-20,1
2020-08-21,25
2020-08-22,2
2020-08-23,2
2020-08-24,14
2020-08-25,13
2020-08-26,7
2020-08-27,13
2020-08-28,14
2020-08-29,6
2020-08-30,13
2020-08-31,176
2020-09-01,96
2020-09-02,82
2020-09-03,91
2020-09-04,28
2020-09-05,36
2020-09-06,44
2020-09-07,5
2020-09-08,66
2020-09-09,183
2020-09-10,81
2020-09-11,21
2020-09-12,6
2020-09-13,13
2020-09-14,59
2020-09-15,41
2020-09-16,279
2020-09-17,366
2020-09-18,249
2020-09-19,57
2020-09-20,73
