fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111,0,8,0,86,0,11,15,16,0,49,48,1,21,6,0,7,0,26,0,4
2020-01-02,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,410,0,27,1,251,0,34,45,24,0,137,549,8,68,30,0,9,0,62,0,31
2020-01-03,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,387,0,5,0,444,0,12,125,5,0,104,456,4,33,29,0,6,0,28,0,16
2020-01-04,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,125,0,3,0,224,0,20,47,1,0,34,106,2,27,18,0,5,0,4,0,8
2020-01-05,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102,0,4,0,94,0,14,56,3,0,31,141,3,14,15,0,4,0,6,0,2
2020-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,4,3,185,0,29,42,7,0,87,542,9,80,39,0,10,0,18,0,7
2020-01-07,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,306,0,1,2,610,0,55,143,17,0,112,556,11,69,70,0,12,0,23,0,12
2020-01-08,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,304,0,15,1,1124,0,15,277,15,0,101,442,103,34,56,0,6,0,18,0,4
2020-01-09,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,416,0,11,7,1255,0,28,75,28,0,122,439,56,30,47,0,20,0,8,0,18
2020-01-10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,326,0,7,2,591,0,36,63,6,0,114,326,23,28,40,0,38,0,5,0,10
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,1,6,242,0,6,21,3,0,50,77,4,13,16,0,20,0,4,0,14
2020-01-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102,0,4,0,172,0,11,25,3,0,33,78,3,24,26,0,11,0,2,0,7
2020-01-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,368,0,16,1,1184,0,38,63,7,0,85,255,1,25,37,0,77,0,23,0,34
2020-01-14,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,496,0,22,3,1218,0,24,55,11,0,115,214,3,15,48,0,84,0,7,0,36
2020-01-15,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,478,0,16,3,717,0,25,46,10,0,88,194,5,7,35,0,246,0,99,0,45
2020-01-16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,3,4,978,0,25,71,14,0,142,247,1,21,48,0,239,0,48,0,68
2020-01-17,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,309,0,6,1,591,0,24,68,16,0,248,227,6,40,88,0,136,0,33,0,51
2020-01-18,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,108,0,4,0,194,0,9,21,5,0,104,81,1,17,41,0,47,1,17,0,18
2020-01-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,4,1,138,0,14,22,6,0,50,99,1,59,66,0,41,0,10,0,5
2020-01-20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,3,1,232,0,8,28,4,0,106,99,0,26,110,0,46,0,23,0,9
2020-01-21,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,191,0,8,2,685,0,17,37,3,0,177,159,3,39,382,0,302,2,58,0,61
2020-01-22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,219,0,3,2,1424,0,26,54,2,0,273,140,0,46,237,0,788,0,114,0,39
2020-01-23,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,180,0,7,7,813,0,24,69,7,0,210,179,2,306,204,0,764,0,66,0,49
2020-01-24,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,256,0,33,0,642,0,29,108,2,0,244,216,2,164,163,0,615,0,34,0,77
2020-01-25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,172,0,8,0,249,0,5,63,4,0,82,66,1,34,38,0,138,0,6,0,16
