id,created_utc,anio,mes,sub,tipo,ticker,n_tickers,sha256_texto,reglas_v2,deepseek,mistral,claude,kimi,etiqueta_consenso,votos,etiqueta_final,fuente_etiqueta,pred_v1,pred_v2b
gavbutl,1604293918.0,2020,11,stocks,comments,NIO,1,668b3bf85727abb74bfc744de4abbb0c90dc18fa5f0cdbc2d7699e560f19729d,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,venta,compra
jlzk8q,1604222617.0,2020,11,stocks,submissions,AMD,1,825d2e389a0e3c4ae107c0aba10643e209378b93c3ff73d2d636a79131926309,compra,venta,venta,neutral,neutral,venta,2.0,venta,pedro_adjudicacion,compra,compra
eyatbi,1580752126.0,2020,2,wallstreetbets,submissions,TSLA,1,df249eb7112249552f9252e0e61d2f8c5887db129a82ee5f623ae137e0e2d021,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,venta,venta
ezmhpc,1580961816.0,2020,2,stocks,submissions,MSFT,1,53803b96a507b509aeb0191044562496c9172590517ced1d616a5dd405cef18b,compra,neutral,neutral,neutral,compra,neutral,3.0,neutral,mayoria_3de4,compra,compra
jlw8ea,1604203285.0,2020,11,wallstreetbets,submissions,TSLA,1,82c0eaf167dc830ae63889fe692a1fdf6339734f95c00f3e3a007b9db2426944,compra,neutral,venta,compra,compra,compra,2.0,venta,pedro_adjudicacion,venta,compra
joiicb,1604581896.0,2020,11,stocks,submissions,BABA,1,e94aabb347b3e3f6dae668f1d060e10d94f1db72a1a37f68c513f5281494e9e0,compra,neutral,neutral,neutral,compra,neutral,3.0,neutral,mayoria_3de4,neutral,neutral
gaudyxn,1604273799.0,2020,11,stocks,comments,NIO,1,e31f3a6ed9f1e60d9a19b7bfabab0589c6edb04a91aaeb3e8ac1b81fbe5979ea,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg5o9h4,1580533134.0,2020,2,wallstreetbets,comments,TSLA,1,202105d871b4744ecf67649054ad8f6aad6e224ccbb2f14c9d56fe50249bd124,compra,compra,compra,compra,neutral,compra,3.0,compra,mayoria_3de4,compra,compra
jnh6fp,1604432296.0,2020,11,wallstreetbets,submissions,GME,1,02fd5af3b735f539e6528fc5dab2bcefa08880cf637b6fee686b423fc601ef5a,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
ex61lo,1580563286.0,2020,2,wallstreetbets,submissions,BYND,1,c066bdea8f523e8f753460bede18f34507ab1b7719fc48c0f9c2da3c09f47de5,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,compra
f2pejo,1581504302.0,2020,2,stocks,submissions,TSLA,1,7e1c96fbb07af496df4424fc879562f8cde9f5e587a723344624fe6615c92321,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,compra,neutral
gatlob6,1604259652.0,2020,11,stocks,comments,AMD,1,fd5e40c36c7960625522f133fc10a8e7395e9261242149c59c6fbfa7f56c6379,compra,neutral,compra,compra,compra,compra,3.0,compra,mayoria_3de4,compra,neutral
fgbnygq,1580664215.0,2020,2,stocks,comments,AAPL,1,dd95cbd8dc05ac9233443643eab6ec6836ea423e76c4ce1c05337ee119276508,compra,neutral,neutral,compra,neutral,neutral,3.0,neutral,mayoria_3de4,neutral,neutral
fg5godv,1580526973.0,2020,2,wallstreetbets,comments,AMZN,2,e787288c4c197be0ca3a3dc98dadde3da617cda3e2d101833ebd61f2eee8eff9,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,compra
jniqwc,1604437280.0,2020,11,wallstreetbets,submissions,NIO,1,8f5e10ad336cc33bf33d1655c22ad4cf3f0550158c8844d824ec6a01c8842ac3,compra,compra,compra,neutral,compra,compra,3.0,compra,mayoria_3de4,compra,compra
jmke9t,1604308823.0,2020,11,wallstreetbets,submissions,RKT,1,5f579cfccc151c41b32f75b8ec3caa7dc18c50ad9ff6b3e544905d8b9531562f,compra,compra,venta,compra,compra,compra,3.0,compra,mayoria_3de4,compra,compra
gari94x,1604204951.0,2020,11,wallstreetbets,comments,NIO,1,e8d2bd60b18554d5393b6d2e76caea6e80d31f986d4a8f356e18bae246f30a80,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jougis,1604621675.0,2020,11,stocks,submissions,NIO,2,9fb6970c0cbe6fff622d69977863511cf567646c5675333dd15e7c840b22fd8d,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
ey3q5d,1580716623.0,2020,2,wallstreetbets,submissions,TSLA,1,1766f8a885971d5aeab96b20c67ed6a010a2a3e0423c639048e5658708ab2475,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg5iwb9,1580528697.0,2020,2,wallstreetbets,comments,GME,1,bfa52d19565d06db9b5e7d089164443e37fcfe105df0f91a57e3885c1669f899,compra,neutral,compra,venta,venta,venta,2.0,venta,pedro_adjudicacion,neutral,neutral
gaqyuh2,1604191187.0,2020,11,wallstreetbets,comments,BA,1,a26262c996c05ce5920611d9c63f7753a978956d9ead35bc12cf8ca98da8dc71,compra,neutral,venta,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,neutral,neutral
fg5to2i,1580538471.0,2020,2,wallstreetbets,comments,AMD,1,59ca3b5fe8e2a36cd7d8c38bb4b8d15390b0d0c16f12ef617a779b80cd8bf3fc,compra,compra,neutral,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,compra,compra
f1493c,1581226105.0,2020,2,stocks,submissions,MSFT,1,33c907d2c45d10cfe06140c1ac834a1ad38f6d0dd4a50d854f8dce8114f7543f,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gasb6a2,1604232757.0,2020,11,stocks,comments,NIO,1,409eb3a9d19d612f7b0d467a1517ed2ad966b1bb5e3e9a7e63dcfaf8d2d4243d,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gataigp,1604254292.0,2020,11,stocks,comments,NVDA,1,29e1585e33942c0fc6f86b1b19e0932539a4910f5499622a33ba99ba3c18ab09,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
jnhkt2,1604433550.0,2020,11,wallstreetbets,submissions,GME,1,2b976b6d95df15f063a25b9366163e77b610fcba0ee55e0129817afaded7a57b,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg5mtv4,1580531881.0,2020,2,wallstreetbets,comments,TWTR,1,d44702b9f8ecd86741b120df41b8665dfd93ea71747322aaa5e11c8b8b5864d0,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
fg5voru,1580540810.0,2020,2,wallstreetbets,comments,GOOG,1,4fe9aea685ed96f23809d77e6646586523c9d687d1fb06d70962d3f52e4fb8cc,compra,venta,neutral,venta,compra,venta,2.0,venta,pedro_adjudicacion,compra,compra
gasl38c,1604240019.0,2020,11,stocks,comments,NIO,1,149ac7f544e8616a7b2e99c011079ada200ee43f57d84df02d1b5345257f42e5,compra,venta,venta,venta,venta,venta,4.0,venta,consenso_4de4,compra,venta
f11tcy,1581213910.0,2020,2,stocks,submissions,TSLA,1,c815d6c91dd496bab7f080d696c2a037356d0e0e31704aaafa2041ac3a2b17a4,compra,neutral,compra,neutral,neutral,neutral,3.0,neutral,mayoria_3de4,venta,compra
jn8in3,1604402097.0,2020,11,wallstreetbets,submissions,NIO,1,8763abc3ae18e067f0094e2a98efcc950107c4c71ed355f6f1462fb13a07e90d,compra,neutral,neutral,neutral,neutral,neutral,4.0,neutral,consenso_4de4,neutral,neutral
eytd2d,1580836660.0,2020,2,stocks,submissions,TSLA,1,4c938bce480ad004dc63727f9f5b6492fdae21941c0b1d06abe638dd7757578c,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,neutral
jml2y3,1604312759.0,2020,11,wallstreetbets,submissions,TWTR,1,5b8f436905c7706e76a30852c59c7c0f52673d2ba9c5c89634e8ca51a1afb516,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
ewz0eh,1580522353.0,2020,2,wallstreetbets,submissions,TSLA,1,e8cbe21e87a6b795f57a5126873cff9196c762e5c87703659f28ae1e1c448fd2,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
exjzf2,1580623089.0,2020,2,wallstreetbets,submissions,SPCE,1,35be30284d764e84f261b3f2a63c6c21a0214fd4b40170b35ca3a20459c1f351,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
gar3x7y,1604194563.0,2020,11,wallstreetbets,comments,BABA,1,2729555269c637834151107c930a315aa5d12affd4d03a9fb1e1bf442b66d953,compra,compra,compra,compra,compra,compra,4.0,compra,consenso_4de4,compra,compra
exevzo,1580600605.0,2020,2,wallstreetbets,submissions,AMZN,2,4ea88ef60f93b26410162c40910bce0261039231c8cc4f7036189ae31ed4481d,compra,neutral,neutral,compra,neutral,neutral,3.0,neutral,mayoria_3de4,neutral,compra
gath737,1604257501.0,2020,11,stocks,comments,SNDL,1,31a9fb7bdf793e055b1c6cedd314c9cce447c0fde125d2ba8adbba8ee99b7e8d,compra,venta,compra,compra,neutral,compra,2.0,compra,pedro_adjudicacion,compra,compra
