id,created_utc,anio,mes,sub,tipo,ticker,n_tickers,sha256_texto,deepseek,openai,claude,etiqueta_equipo,votos,flag_empate
ff20uy8,1579490804.0,2020,1,Daytrading,comments,AMZN,1,de60684a5803005d5a31005018999efe67c06980543dd2ebedbc22579158196c,neutral,neutral,neutral,neutral,3,False
feol4oa,1579301657.0,2020,1,Daytrading,comments,BB,2,36d80e01f13565bb42c02a0e8256fca53cee9cdce84ac882478e8ee181c7a0bf,neutral,neutral,neutral,neutral,3,False
fpfvepr,1588584965.0,2020,5,Daytrading,comments,SMR,1,16299e4994242e4f697de410b25e42a2f1765b1ef4719d3654814971c2af0ae8,compra,compra,compra,compra,3,False
elt7fe,1578492752.0,2020,1,Daytrading,submissions,UBER,1,c226faa5560d9eea2e8baa6b898e2e5f1a0df49aa078d93032fa86108209686c,compra,compra,venta,compra,2,False
fq5wtrv,1589119496.0,2020,5,Daytrading,comments,DOCU,1,35b90cc8f88a9e9d4610671384dfbde0d90df6c7916ac18944a48faf707154df,compra,compra,compra,compra,3,False
fefg6l9,1579055642.0,2020,1,Daytrading,comments,CASH,1,5d042f0b353b14dda2e5e789a484cd64dd05366358312a0b663633ed1ebf4174,neutral,neutral,neutral,neutral,3,False
gbh168,1588335429.0,2020,5,Daytrading,submissions,DOW,1,9e91ef6559ac9eb9c781a8fb2f555d64a5e8c974de6a68b606647ef6ac6f30e5,neutral,neutral,neutral,neutral,3,False
glj2ce,1589735331.0,2020,5,Daytrading,submissions,KTOV,1,f01054e89bd82449f20776c16402e7c04a13a5bda65c2b9a8ccd469009e3ca67,neutral,neutral,neutral,neutral,3,False
gcxgdu,1588537224.0,2020,5,Daytrading,submissions,AMD,1,d257c9a0cf199925391ea895786e85662bb92590d221a67769212e11fda85171,neutral,neutral,neutral,neutral,3,False
gfvaw9,1588951971.0,2020,5,Daytrading,submissions,SDC,1,3379dfbc08262ad071e7fef6a586a77f6e0ec5c3b02bb3e74cc7b30bd2b9da6f,compra,neutral,neutral,neutral,2,False
fpyb85v,1589000325.0,2020,5,Daytrading,comments,AAPL,2,9ced1360567ce90abfa9834daa42ed220e13549d2cfb64d13d1ba23c94fab52b,neutral,compra,neutral,neutral,2,False
gjtvuz,1589486662.0,2020,5,Daytrading,submissions,UAL,1,583da56964af734b4d07d5803a8f45778635d064c0f550eefa7bce85dd9f4cc4,neutral,neutral,neutral,neutral,3,False
fpsyt0e,1588881915.0,2020,5,Daytrading,comments,GNUS,1,f573e18b251d581d0efd11bd9080ea40e5aeead3e4db0ec3412e71276e539885,compra,compra,compra,compra,3,False
fdj7y25,1578461009.0,2020,1,Daytrading,comments,VERY,1,39826fb022ea3f041ecbfe7a20b6fe95b36d86d1a6edf4a86841807e33c3f491,neutral,neutral,neutral,neutral,3,False
fdmhw4e,1578550479.0,2020,1,Daytrading,comments,AMD,6,b5665368af07626e576ef759d29536985054684c34137878f83352237787849d,neutral,neutral,neutral,neutral,3,False
gk7v3s,1589544279.0,2020,5,Daytrading,submissions,GNUS,2,2a2b8f70654544a6cb61c4f0ebc1a6757a88549e066560a9808a0c1a463c4b62,neutral,neutral,neutral,neutral,3,False
gnv6f0,1590060700.0,2020,5,Daytrading,submissions,MNLO,1,0d5c1656ca6eca62044915f893359351ec63c8bbeea123517524e1a0c6b4b44f,neutral,compra,compra,compra,2,False
fphx6xe,1588629466.0,2020,5,Daytrading,comments,AAL,1,0292e263063e5f6b47732342ff523bb43669a1044e6e552ca747fd6b01aba004,compra,venta,compra,compra,2,False
fcv7pi6,1577996375.0,2020,1,Daytrading,comments,AMD,1,3f3518b2623008cfaa4be268c45d1ef5f6c905e48a72f64a35ea902fe19c07bf,neutral,venta,neutral,neutral,2,False
fpaclkv,1588445367.0,2020,5,Daytrading,comments,MA,1,534612cfa634c2b89bd477847af5e1f6611c9a2b3a144f96f7c403847f9cc0f6,neutral,neutral,neutral,neutral,3,False
eie045,1577853392.0,2020,1,Daytrading,submissions,ROKU,1,163c9c9f2ed0f5922f5dfbe8e7e0274fd7bced4373a6015ff1caef034849eb6a,neutral,neutral,neutral,neutral,3,False
fcr3itg,1577896258.0,2020,1,Daytrading,comments,AAPL,1,6e8707dc19a4face293092906fd67f41e9c633d3a3390b35711aa8d2e41f431f,neutral,neutral,neutral,neutral,3,False
fdn0qon,1578573690.0,2020,1,Daytrading,comments,VERY,1,18a3c4ef940350467442a3cfdc9cf5686baa2e6b7bea6fc0c746833d235f8c47,neutral,neutral,neutral,neutral,3,False
