modelo,covariable,HR,lo95,hi95,p,eventos,filas,muertes
oficial v2b (F11),b_duro_lag,1.2426962296384771,0.9084316230277444,1.6999561442067086,0.17407879875202242,150,2702,150
oficial v2b (F11),d_duro_lag,3.547674974930192,1.2369575368266388,10.17496345107753,0.018495716636264883,150,2702,150
oficial v2b (F11),sin_direccion_lag,1.1914069033977885,0.6114884066505435,2.321303877597637,0.6068086087282287,150,2702,150
oficial v2b (F11),log1p_n_lag,1.2586481951325685,1.1183412540898987,1.4165580258413017,0.0001363447410664013,150,2702,150
reconstruido v2b (alineado a F11),b_duro_lag,1.2641193265079396,0.921131505709616,1.7348203397079882,0.14670460778415947,150,2702,150
reconstruido v2b (alineado a F11),d_duro_lag,3.8443490109158094,1.3450289885559479,10.987881631901804,0.01196538841528386,150,2702,150
reconstruido v2b (alineado a F11),sin_direccion_lag,1.1944036609467743,0.6125407187877467,2.328988198705191,0.6020905501593903,150,2702,150
reconstruido v2b (alineado a F11),log1p_n_lag,1.2546877409844,1.1152188507769316,1.4115985631697503,0.00016077925738747543,150,2702,150
reconstruido v1 (alineado a F11),b_duro_lag,1.403822143456339,0.9511962126662585,2.0718297489161737,0.08763338673673597,150,2702,150
reconstruido v1 (alineado a F11),d_duro_lag,3.3405611490577325,1.051667490934898,10.611099883551237,0.04081600112346295,150,2702,150
reconstruido v1 (alineado a F11),sin_direccion_lag,1.562098957385479,0.7917865977268809,3.0818318466998202,0.19825076455033225,150,2702,150
reconstruido v1 (alineado a F11),log1p_n_lag,1.2757049527468949,1.1342749412040583,1.434769531922667,4.875601643350176e-05,150,2702,150
