horizonte,decil,n,predicho_medio,observado,brier_horizonte
7,1,243,0.6216319099872153,0.49382716049382713,0.17182435528608203
7,2,242,0.6835816188823293,0.6942148760330579,0.17182435528608203
7,3,242,0.7083703855666571,0.7024793388429752,0.17182435528608203
7,4,242,0.723784362996972,0.7396694214876033,0.17182435528608203
7,5,243,0.7366118162235318,0.7654320987654321,0.17182435528608203
7,6,242,0.7479974561671596,0.7768595041322314,0.17182435528608203
7,7,242,0.7584438346407776,0.7975206611570248,0.17182435528608203
7,8,242,0.7740705906565224,0.8388429752066116,0.17182435528608203
7,9,242,0.8150828783509091,0.8801652892561983,0.17182435528608203
7,10,243,0.8512533752757748,0.9218106995884774,0.17182435528608203
14,1,243,0.2620613120183092,0.1934156378600823,0.22535309286812263
14,2,242,0.33923996410264395,0.256198347107438,0.22535309286812263
14,3,242,0.3752529469140647,0.3347107438016529,0.22535309286812263
14,4,242,0.3989558116407098,0.34710743801652894,0.22535309286812263
14,5,242,0.4194295987969563,0.4049586776859504,0.22535309286812263
14,6,242,0.4380938147366395,0.4214876033057851,0.22535309286812263
14,7,242,0.45571520505853025,0.4132231404958678,0.22535309286812263
14,8,242,0.48309159322457124,0.4669421487603306,0.22535309286812263
14,9,242,0.5599585399499301,0.5495867768595041,0.22535309286812263
14,10,242,0.6331625426131366,0.6776859504132231,0.22535309286812263
30,1,242,0.034267778750195946,0.049586776859504134,0.09856292323704093
30,2,242,0.06298663827171011,0.06611570247933884,0.09856292323704093
30,3,242,0.08141299822579984,0.05785123966942149,0.09856292323704093
30,4,242,0.09528758925871138,0.08677685950413223,0.09856292323704093
30,5,242,0.10830521761089464,0.10743801652892562,0.09856292323704093
30,6,241,0.12103804049509198,0.1037344398340249,0.09856292323704093
30,7,242,0.13386122869137906,0.09504132231404959,0.09856292323704093
30,8,242,0.15556253437638712,0.15289256198347106,0.09856292323704093
30,9,242,0.22780177394030485,0.16115702479338842,0.09856292323704093
30,10,242,0.31173652663769064,0.2644628099173554,0.09856292323704093
