evento_id,ret_v1,ret_aj,vol_v1,vol_aj,desfase_v1,desfase_aj,acopl_v1,acopl_aj,dif_ret,dif_vol,acopl_cambia
XTIA_2024-12-31,720.519,1.8886,0.61,7.53,0,0,sincronico,sincronico,718.6304,6.92,False
CHK_2020-04-15,132.3841,-0.3331,0.04,7.95,-6,-6,reactivo,reactivo,132.7172,7.91,False
ACB_2020-05-11,24.4616,1.1218,1.69,20.24,3,3,atencion anticipa,atencion anticipa,23.3398,18.549999999999997,False
OTLY_2025-01-01,20.726,0.0863,0.09,1.8,1,1,sincronico,sincronico,20.639699999999998,1.71,False
SNDL_2022-07-26,6.6664,-0.2334,0.18,1.85,20,-5,atencion anticipa,reactivo,6.8998,1.6700000000000002,True
NVDA_2024-05-22,-0.8629,0.3711,5.69,1.0,-15,-2,reactivo,reactivo,1.234,4.69,False
AAPL_2020-07-30,-0.6961,0.2157,3.69,1.6,-20,-14,reactivo,reactivo,0.9118,2.09,False
GOOGL_2022-07-18,-0.953,-0.0605,22.95,1.15,-11,3,reactivo,atencion anticipa,0.8925,21.8,True
GOOG_2022-07-18,-0.9532,-0.065,21.78,1.09,-11,3,reactivo,atencion anticipa,0.8882000000000001,20.69,True
CMG_2024-06-25,-0.982,-0.1001,51.61,1.15,-14,-13,reactivo,reactivo,0.8819,50.46,False
TSLA_2020-08-31,-0.7854,0.0731,7.16,1.43,-5,-1,reactivo,sincronico,0.8585,5.73,True
CVNA_2025-01-02,-0.8258,-0.1288,13.19,2.64,-4,18,reactivo,atencion anticipa,0.697,10.549999999999999,True
SWBI_2020-08-25,-0.1743,0.0383,3.03,2.41,-5,7,reactivo,atencion anticipa,0.2126,0.6199999999999997,True
HCTI_2025-06-11,3.2857,3.1667,4.39,4.4,0,0,sincronico,sincronico,0.11899999999999977,0.010000000000000675,False
GOLD_2025-10-08,0.0739,0.0033,0.76,0.66,-1,-1,sincronico,sincronico,0.0706,0.09999999999999998,False
RIME_2025-01-06,1.0909,1.0359,0.01,2.3,0,0,sincronico,sincronico,0.05499999999999994,2.29,False
PSTV_2025-09-25,1.225,1.2006,13.71,13.68,0,0,sincronico,sincronico,0.0244000000000002,0.030000000000001137,False
SUNE_2025-04-08,-0.2,-0.18,6.85,6.81,-12,-12,reactivo,reactivo,0.020000000000000018,0.040000000000000036,False
HCTI_2025-07-23,1.8421,1.8579,9.76,9.74,1,1,sincronico,sincronico,0.015800000000000036,0.019999999999999574,False
DVLT_2025-09-16,0.3636,0.3488,28.14,28.17,13,13,atencion anticipa,atencion anticipa,0.01479999999999998,0.030000000000001137,False
YAAS_2025-09-19,0.3947,0.4066,11.81,11.85,0,0,sincronico,sincronico,0.011900000000000022,0.03999999999999915,False
ATCH_2025-09-11,4.6796,4.6686,22.6,22.58,-1,-1,sincronico,sincronico,0.01100000000000012,0.020000000000003126,False
OPTT_2025-07-21,0.0417,0.0481,2.4,2.4,-2,-1,reactivo,sincronico,0.006399999999999996,0.0,True
GOLD_2025-04-11,0.078,0.0733,0.9,1.12,8,0,atencion anticipa,sincronico,0.004699999999999996,0.22000000000000008,True
SCWO_2025-10-07,0.8182,0.8152,110.15,108.22,-1,-1,sincronico,sincronico,0.0030000000000000027,1.9300000000000068,False
CNSP_2025-02-14,0.2963,0.2987,19.27,19.19,4,4,atencion anticipa,atencion anticipa,0.0024000000000000132,0.0799999999999983,False
NVNI_2025-07-27,0.5357,0.5334,29.65,29.58,-1,-1,sincronico,sincronico,0.0022999999999999687,0.07000000000000028,False
AIRE_2025-07-21,3.4737,3.4721,30.15,30.35,0,0,sincronico,sincronico,0.0015999999999998238,0.20000000000000284,False
CGTX_2025-08-12,2.702,2.7033,3.64,3.74,0,0,sincronico,sincronico,0.0013000000000000789,0.10000000000000009,False
GCTK_2025-01-08,-0.1032,-0.1045,0.3,57.16,-5,-5,reactivo,reactivo,0.0012999999999999956,56.86,False
ASST_2025-10-24,0.8981,0.8977,21.74,21.93,0,0,sincronico,sincronico,0.00039999999999995595,0.19000000000000128,False
POET_2025-10-07,0.4451,0.4451,12.32,12.2,0,0,sincronico,sincronico,0.0,0.120000000000001,False
YYAI_2025-10-08,0.0722,0.0722,32.67,32.83,-2,-2,reactivo,reactivo,0.0,0.1599999999999966,False
DUOL_2025-11-05,-0.2606,-0.2606,5.27,5.15,-6,-6,reactivo,reactivo,0.0,0.11999999999999922,False
BYND_2025-10-14,2.4589,2.4589,58.56,59.08,-1,-1,sincronico,sincronico,0.0,0.519999999999996,False
WBD_2025-12-05,0.0628,0.0628,3.77,3.67,7,7,atencion anticipa,atencion anticipa,0.0,0.10000000000000009,False
RAYA_2025-07-21,-0.9415,-0.9415,64.15,64.35,-7,-7,reactivo,reactivo,0.0,0.19999999999998863,False
SMX_2025-11-28,18.0793,18.0793,1.04,3.2,0,0,sincronico,sincronico,0.0,2.16,False
GPUS_2025-09-15,0.2162,0.2162,41.99,41.99,-11,4,reactivo,atencion anticipa,0.0,0.0,True
DFLI_2025-09-24,1.2699,1.2699,35.07,35.13,4,4,atencion anticipa,atencion anticipa,0.0,0.060000000000002274,False
FUBO_2025-01-06,2.7917,2.7917,3.04,32.54,0,0,sincronico,sincronico,0.0,29.5,False
FRGT_2025-04-09,1.7013,1.7013,170.89,171.09,0,0,sincronico,sincronico,0.0,0.20000000000001705,False
SMCI_2024-10-30,-0.3268,-0.3268,3.17,2.97,-1,-1,sincronico,sincronico,0.0,0.19999999999999973,False
XSPA_2020-05-22,2.675,2.675,3.14,3.7,8,1,atencion anticipa,sincronico,0.0,0.56,True
ATNM_2020-07-20,0.5,0.5,2.3,2.54,10,0,atencion anticipa,sincronico,0.0,0.2400000000000002,True
NVDA_2021-05-21,0.2755,0.2755,2.23,1.86,18,18,atencion anticipa,atencion anticipa,0.0,0.3699999999999999,False
XELA_2022-07-18,0.5204,0.5204,2.33,2.67,4,0,atencion anticipa,sincronico,0.0,0.33999999999999986,True
AMC_2022-08-04,0.218,0.218,2.23,2.06,6,6,atencion anticipa,atencion anticipa,0.0,0.16999999999999993,False
AVCT_2022-08-29,1.311,1.311,7.69,8.35,11,-23,atencion anticipa,reactivo,0.0,0.6599999999999993,True
WMT_2024-02-16,0.0388,0.0388,3.19,2.37,0,8,sincronico,atencion anticipa,0.0,0.8199999999999998,True
BNED_2024-05-17,5.3448,5.3448,45.76,5.78,0,0,sincronico,sincronico,0.0,39.98,False
MSTR_2024-07-05,0.0053,0.0053,1.34,1.05,-14,-14,reactivo,reactivo,0.0,0.29000000000000004,False
FGF_2024-11-07,0.6277,0.6277,0.53,2.09,-15,-15,reactivo,reactivo,0.0,1.5599999999999998,False
SXTP_2025-04-07,0.6215,0.6215,269.77,271.14,7,7,atencion anticipa,atencion anticipa,0.0,1.3700000000000045,False
KULR_2024-12-26,0.4035,0.4035,0.9,1.16,11,0,atencion anticipa,sincronico,0.0,0.2599999999999999,True
LODE_2024-12-26,1.0872,1.0872,7.02,7.64,3,0,atencion anticipa,sincronico,0.0,0.6200000000000001,True
RVSN_2024-12-26,3.588,3.588,6.99,9.92,2,-1,atencion anticipa,sincronico,0.0,2.9299999999999997,True
REKR_2024-12-27,0.8235,0.8235,16.76,16.7,7,7,atencion anticipa,atencion anticipa,0.0,0.060000000000002274,False
HOLO_2024-12-30,1.0542,1.0542,16.39,18.98,2,-1,atencion anticipa,sincronico,0.0,2.59,True
LPSN_2024-12-30,0.588,0.588,10.8,15.05,3,3,atencion anticipa,atencion anticipa,0.0,4.25,False
CRKN_2024-12-31,0.0252,0.0252,1.04,5.72,2,-4,atencion anticipa,reactivo,0.0,4.68,True
ARBE_2025-01-06,0.4297,0.4297,65.18,64.67,-1,-1,sincronico,sincronico,0.0,0.5100000000000051,False
GDC_2025-01-27,0.6121,0.6121,0.1,3.73,-17,-17,reactivo,reactivo,0.0,3.63,False
TLRY_2025-12-12,0.4413,0.4413,8.41,8.36,4,4,atencion anticipa,atencion anticipa,0.0,0.05000000000000071,False
