evento_id,ret_v1,ret_v2,vol_v1,vol_v2,acopl_v1,acopl_v2,dif_ret,dif_vol,acopl_cambia
OTLY_2025-01-01,20.726,0.0863,0.09,1.8,sincronico,sincronico,20.639699999999998,1.71,False
CVNA_2025-01-02,-0.8258,-0.1288,13.19,2.64,reactivo,atencion anticipa,0.697,10.549999999999999,True
MSFT_2025-01-03,0.0114,0.0114,0.9,0.89,atencion anticipa,atencion anticipa,0.0,0.010000000000000009,False
KSS_2025-01-05,-0.0085,-0.0085,0.83,0.83,reactivo,reactivo,0.0,0.0,False
ARBE_2025-01-06,0.4297,0.4297,65.18,64.67,sincronico,sincronico,0.0,0.5100000000000051,False
DJT_2025-01-06,0.2395,0.2395,1.87,1.86,sincronico,sincronico,0.0,0.010000000000000009,False
FUBO_2025-01-06,2.7917,2.7917,3.04,32.54,sincronico,sincronico,0.0,29.5,False
META_2025-01-06,0.1188,0.1188,1.33,1.32,atencion anticipa,atencion anticipa,0.0,0.010000000000000009,False
RIME_2025-01-06,1.0909,1.0359,0.01,2.3,sincronico,sincronico,0.05499999999999994,2.29,False
SKYX_2025-01-06,0.2097,0.2097,1.68,1.67,atencion anticipa,atencion anticipa,0.0,0.010000000000000009,False
TSM_2025-01-06,0.0296,0.0296,1.69,1.69,reactivo,reactivo,0.0,0.0,False
GCTK_2025-01-08,-0.1032,-0.1045,0.3,57.16,reactivo,reactivo,0.0012999999999999956,56.86,False
IONQ_2025-01-08,-0.39,-0.39,2.71,2.71,reactivo,reactivo,0.0,0.0,False
AAPL_2025-01-16,-0.0012,-0.0012,1.46,1.46,sincronico,sincronico,0.0,0.0,False
INTC_2025-01-17,0.0173,0.0173,1.57,1.56,reactivo,reactivo,0.0,0.010000000000000009,False
ICE_2025-01-21,0.0175,0.0175,1.23,1.23,atencion anticipa,atencion anticipa,0.0,0.0,False
ORCL_2025-01-21,0.144,0.144,4.19,4.19,sincronico,sincronico,0.0,0.0,False
RKLB_2025-01-21,0.3029,0.3029,2.18,2.17,atencion anticipa,atencion anticipa,0.0,0.010000000000000231,False
VST_2025-01-21,-0.1977,-0.1977,2.58,2.58,reactivo,reactivo,0.0,0.0,False
AMZN_2025-01-22,0.0352,0.0352,1.41,1.41,reactivo,reactivo,0.0,0.0,False
OKLO_2025-01-22,0.7757,0.7757,2.15,2.15,sincronico,sincronico,0.0,0.0,False
SBUX_2025-01-26,0.0162,0.0162,3.09,3.06,atencion anticipa,atencion anticipa,0.0,0.029999999999999805,False
ASML_2025-01-27,-0.0268,-0.0268,2.76,2.76,reactivo,reactivo,0.0,0.0,False
AVGO_2025-01-27,-0.174,-0.174,1.67,1.67,reactivo,reactivo,0.0,0.0,False
BABA_2025-01-27,0.085,0.085,3.54,3.54,sincronico,sincronico,0.0,0.0,False
GDC_2025-01-27,0.6121,0.6121,0.1,3.73,reactivo,reactivo,0.0,3.63,False
MSFT_2025-01-27,-0.0039,-0.0039,1.84,1.82,sincronico,sincronico,0.0,0.020000000000000018,False
NBIS_2025-01-27,0.1094,0.1094,2.45,2.46,reactivo,reactivo,0.0,0.009999999999999787,False
NVDA_2025-01-27,-0.1697,-0.1697,2.48,2.48,reactivo,reactivo,0.0,0.0,False
DEI_2025-01-28,0.0251,0.0251,1.12,1.12,sincronico,sincronico,0.0,0.0,False
