particion,poblacion,covariable,nombre,HR,lo,hi,p,se,cociente_vs_ref,coc_lo,coc_hi,p_cociente
S7 (etiqueta earnings),nativa,b_duro_lag,B: optimismo (t-1),0.8865670005821323,0.7999746091820955,0.9825324922809943,0.02167502285605343,0.05243806192358761,,,,
S7 (etiqueta earnings),nativa,d_duro_lag,D: desacuerdo (t-1),1.5464794835123576,1.1134325698181118,2.147951171677451,0.009295923201160574,0.16762216057589516,,,,
S7 (etiqueta earnings),nativa,sin_direccion_lag,Sin direccion (t-1),2.295291593443164,1.858382612151922,2.8349186354204723,1.236733993196348e-14,0.1077332782628952,,,,
S7 (etiqueta earnings),nativa,log1p_n_lag,log(1+mensajes) (t-1),1.6144015163935121,1.5323600098096766,1.7008354691123662,1.976800053594479e-72,0.0266103220571063,,,,
S7 (etiqueta earnings),nativa,log_z_inicio,log z del encendido,1.3222958894243582,1.202972004103817,1.4534556192694748,7.052559761191967e-09,0.048253116729868484,,,,
S7 (etiqueta earnings),nativa,log_base_previa,log base previa,0.7036695857022179,0.661428907556165,0.7486078703028043,9.28762338409731e-29,0.031585479004867904,,,,
S7 (etiqueta earnings),nativa,log_amplitud,log amplitud,0.7282505192526526,0.6796968917720149,0.7802725379677751,2.1015051393152003e-19,0.0352037884352303,,,,
S7 (etiqueta earnings),nativa,log_vol_ratio,log razon de volumen,0.9940802263449373,0.9347991649924664,1.0571206451794015,0.8498872286134296,0.031371088997646415,,,,
S7 (etiqueta earnings),nativa,ret_encendido_pico,Retorno encendido-pico,0.8760706007005273,0.8254863582835887,0.9297545497997376,1.2992572012176913e-05,0.03034440670326412,,,,
S7 (etiqueta earnings),nativa,desacoplado,Desacoplado,0.6554628094689986,0.5873861540507593,0.7314293870125271,4.3558385000006166e-14,0.05594955796698744,,,,
S7 (etiqueta earnings),earnings,b_duro_lag,B: optimismo (t-1),0.8385368844792345,0.6546674216119377,1.0740478041519812,0.16321430563631362,0.12629375716751498,0.9458246065200254,0.7234505216718801,1.2365519956104176,0.6837828373108896
S7 (etiqueta earnings),earnings,d_duro_lag,D: desacuerdo (t-1),1.6494642966458941,0.811784249191262,3.35154626197793,0.16651015046968592,0.36172666905166906,1.066593067823724,0.4882452426328731,2.3300191645390718,0.8715353003333228
