particion,poblacion,covariable,nombre,int_estratificado_HR,int_estr_lo,int_estr_hi,int_estr_p,int_baseline_comun_HR,int_bc_lo,int_bc_hi,int_bc_p,int_parcial_S7S8_HR,int_parcial_lo,int_parcial_hi,int_parcial_p
S7 (etiqueta earnings),earnings,d_duro_lag,D: desacuerdo (t-1),1.0665930678237356,0.48825225317034215,2.329985709114082,0.8715353003333021,1.2383939003391615,0.5657018881964175,2.711002887557541,0.5927416482708913,1.794530816961897,0.9130047541343308,3.527189577538742,0.08988835092287516
S7 (etiqueta earnings),earnings,b_duro_lag,B: optimismo (t-1),0.9458246065200286,0.7234540846904572,1.236545905579524,0.6837828373109092,0.9401414216450631,0.7178035846947205,1.2313478387945158,0.653904672246336,1.0852127515653702,0.8648266956335328,1.361760364366831,0.4801482328572325
S7 (etiqueta earnings),earnings,sin_direccion_lag,Sin direccion (t-1),0.5582284114202473,0.29585831138245805,1.053270931820945,0.0719014250914754,0.5873566090391702,0.31370021715726,1.0997371608737139,0.09633861255738446,,,,
S7 (etiqueta earnings),earnings,log_z_inicio,log z del encendido,0.8036645398207749,0.6526279222950703,0.9896553158406239,0.03960296248975955,0.8416026754126286,0.6815761319552688,1.0392016827669355,0.10902092714599684,,,,
S7 (etiqueta earnings),earnings,log_amplitud,log amplitud,1.2873352117570502,1.078414889065075,1.5367294760426538,0.005181618427119448,1.2128657505189258,1.018445428646483,1.444400738031549,0.03038705088079493,,,,
S8 (etiqueta v2),institucional,d_duro_lag,D: desacuerdo (t-1),2.6035349238598005,0.7427491982023552,9.12608740091961,0.13485164465932864,2.683109825108911,0.7574689480485771,9.504123373166037,0.1261396693782472,0.8676620107308355,0.3178212714340911,2.3687444250300844,0.7817586185542333
S8 (etiqueta v2),institucional,b_duro_lag,B: optimismo (t-1),1.5546563621916263,1.0222907768153844,2.3642553168993126,0.03910906445584905,1.555128633541562,1.0124520497523564,2.388681091072301,0.04375001437421799,1.1310575628971271,0.8130343223091413,1.5734774971779872,0.4646923731013691
S8 (etiqueta v2),institucional,sin_direccion_lag,Sin direccion (t-1),0.7477199790510101,0.2698163969753499,2.0720948516821247,0.5761399045002309,0.7637270856488838,0.27663041504635094,2.108513849628595,0.6029102483797433,,,,
S8 (etiqueta v2),institucional,log_z_inicio,log z del encendido,1.1157764567125412,0.8578958949317456,1.451175030337501,0.41395306961426437,1.1351517488121239,0.8759285860404592,1.4710896680014325,0.3378520158363576,,,,
S8 (etiqueta v2),institucional,log_amplitud,log amplitud,0.922979431785472,0.7202700625336399,1.1827383585851114,0.5264281078411586,0.8962386688503752,0.7051372668344201,1.1391310448654952,0.3706145595624497,,,,
S8 (etiqueta v2),earnings,d_duro_lag,D: desacuerdo (t-1),1.1773727388705448,0.534355359289586,2.5941661146216632,0.6853920331682517,1.359148970784573,0.6154529548311631,3.0015063056956626,0.4477693878081218,1.7390586188998214,0.8762480812834592,3.4514482194813603,0.1135988425865368
S8 (etiqueta v2),earnings,b_duro_lag,B: optimismo (t-1),0.9614909169082775,0.7341223905381661,1.259278827634475,0.7754384731553805,0.9624375494963054,0.7334347943494852,1.2629425871484816,0.7824300285248911,1.0875115645468112,0.8654742115609158,1.3665125860769924,0.4715269898198834
S8 (etiqueta v2),earnings,sin_direccion_lag,Sin direccion (t-1),0.5100665974939469,0.26892029606447265,0.9674536942227586,0.03927697705004943,0.5365753695202667,0.28505591126678853,1.0100233525988807,0.05372344658256636,,,,
S8 (etiqueta v2),earnings,log_z_inicio,log z del encendido,0.806500450161577,0.6497312488628784,1.0010954179119347,0.051171780958066085,0.8496413624575949,0.6826008912509712,1.057558602766871,0.1445934501578777,,,,
S8 (etiqueta v2),earnings,log_amplitud,log amplitud,1.2809108718717965,1.0705761192805918,1.5325698305150963,0.006827795817162108,1.2100827118037751,1.013743999363493,1.444447681392718,0.03476495905165998,,,,
