covariable,columna,HR_I2,lo_I2,hi_I2,coef_tv,gamma_tv,p_interaccion
B: optimismo neto (t-1),b_duro_lag,0.8530246660768133,0.7839052083817691,0.9282386099175985,-0.10382467947041366,,
D: desacuerdo (t-1),d_duro_lag,1.7127269953452315,1.3178908558389564,2.2258548555729294,1.695034830251848,-0.42961303181822247,1.4702530131088954e-05
Sin direccion (t-1),sin_direccion_lag,1.8656670068722603,1.5758137765242102,2.2088354806804307,0.7412219999503691,-0.0918165065883174,0.41614611943378854
log(1+mensajes) (t-1),log1p_n_lag,1.5568999146542153,1.495467846469753,1.6208555402727804,0.7022776320841329,-0.11416849502420923,3.8083356629729673e-06
log z del encendido,log_z_inicio,1.3651205093923013,1.2677006419371157,1.470026868737626,0.660368145702772,-0.18511360042068364,8.821554780110874e-05
log base previa,log_base_previa,0.7307602907159851,0.6962544275916447,0.7669762393245562,-0.1577719388536409,-0.061631503964611326,0.04540481575926812
log amplitud,log_amplitud,0.7444286006804601,0.7049155090747367,0.7861565455390105,-0.179679612101363,-0.03296090610437778,0.3459358381962463
log razon de volumen,log_vol_ratio,0.9682283373466193,0.9250107798525266,1.0134650683643471,-0.031239963072165155,,
Retorno encendido-pico,ret_encendido_pico,0.9987208742927975,0.994521397746353,1.0029380835932122,-0.0010611636944736248,,
Desacoplado,desacoplado,0.6978508343774279,0.6399679472833482,0.7609690283842498,-0.5733855376478089,0.10828706413781974,0.07495002910065447
