covariable,columna,dia,HR,lo95,hi95
B: optimismo neto (t-1),b_duro_lag,3,0.9013833145690455,0.8267943731868967,0.9827012690612679
B: optimismo neto (t-1),b_duro_lag,7,0.9013833145690455,0.8267943731868967,0.9827012690612679
B: optimismo neto (t-1),b_duro_lag,14,0.9013833145690455,0.8267943731868967,0.9827012690612679
B: optimismo neto (t-1),b_duro_lag,30,0.9013833145690455,0.8267943731868967,0.9827012690612679
D: desacuerdo (t-1),d_duro_lag,3,3.3975571025383196,2.3145290944362924,4.987361918567714
D: desacuerdo (t-1),d_duro_lag,7,2.3609084265353406,1.770099975854528,3.1489117420018857
D: desacuerdo (t-1),d_duro_lag,14,1.7528822090095977,1.343882730783036,2.286357260407734
D: desacuerdo (t-1),d_duro_lag,30,1.2634374121289564,0.9225244572682302,1.7303325475987759
Sin direccion (t-1),sin_direccion_lag,3,1.8971471494654748,1.2913614788634586,2.7871106314032557
Sin direccion (t-1),sin_direccion_lag,7,1.755151763186697,1.3881992066093185,2.2191034954858133
Sin direccion (t-1),sin_direccion_lag,14,1.6469300436179957,1.3799653331916875,1.9655410924694607
Sin direccion (t-1),sin_direccion_lag,30,1.535622656416158,1.2032112807660977,1.959869376720908
log(1+mensajes) (t-1),log1p_n_lag,3,1.7804225441234252,1.654829740232239,1.9155471759759801
log(1+mensajes) (t-1),log1p_n_lag,7,1.6162618759419038,1.5449225953204249,1.6908953623540195
log(1+mensajes) (t-1),log1p_n_lag,14,1.4932880422962047,1.4307484118040872,1.5585613507360465
log(1+mensajes) (t-1),log1p_n_lag,30,1.3688459953869778,1.2829236800480894,1.4605228574600244
log z del encendido,log_z_inicio,3,1.579328993982812,1.401486981418206,1.7797383095993695
log z del encendido,log_z_inicio,7,1.3500663129072492,1.2520781287016711,1.4557230954405234
log z del encendido,log_z_inicio,14,1.1874910757031785,1.0871779089988804,1.2970600701160349
log z del encendido,log_z_inicio,30,1.0312382376039388,0.8964873895319401,1.1862434598792413
log base previa,log_base_previa,3,0.7981321717576606,0.728493806876486,0.8744274248890133
log base previa,log_base_previa,7,0.7575230538624144,0.7168112526888828,0.8005471105266008
log base previa,log_base_previa,14,0.7258433845955311,0.6896160457101371,0.7639738405717778
log base previa,log_base_previa,30,0.6925375290839879,0.6401358468885405,0.7492288262264182
log amplitud,log_amplitud,3,0.8058232376986195,0.7243328365900193,0.8964816416056337
log amplitud,log_amplitud,7,0.7836297923329545,0.7349724967144954,0.8355083410288902
log amplitud,log_amplitud,14,0.7659293598991088,0.7238741249638951,0.8104278964035617
log amplitud,log_amplitud,30,0.7469282423005609,0.6854068932327151,0.8139716782171051
log razon de volumen,log_vol_ratio,3,0.9692429626491941,0.9260661969127136,1.0144327951682413
log razon de volumen,log_vol_ratio,7,0.9692429626491941,0.9260661969127136,1.0144327951682413
log razon de volumen,log_vol_ratio,14,0.9692429626491941,0.9260661969127136,1.0144327951682413
log razon de volumen,log_vol_ratio,30,0.9692429626491941,0.9260661969127136,1.0144327951682413
Retorno encendido-pico,ret_encendido_pico,3,0.9989393991406152,0.9950034963072529,1.0028908710962683
Retorno encendido-pico,ret_encendido_pico,7,0.9989393991406152,0.9950034963072529,1.0028908710962683
Retorno encendido-pico,ret_encendido_pico,14,0.9989393991406152,0.9950034963072529,1.0028908710962683
Retorno encendido-pico,ret_encendido_pico,30,0.9989393991406152,0.9950034963072529,1.0028908710962683
Desacoplado,desacoplado,3,0.6348160302022607,0.5391760922988834,0.7474207368570897
Desacoplado,desacoplado,7,0.6958169608422058,0.6328149783205733,0.7650913135472843
Desacoplado,desacoplado,14,0.7500542308001108,0.679597551675585,0.8278154442347102
Desacoplado,desacoplado,30,0.8145822623868265,0.6926742947793603,0.9579455556476244
