escenario,D,dia,tasa_I2,prob_dia_I2,tasa_I2tv,prob_dia_I2tv
D en su cuartil bajo,0.0869565217391304,3,0.045874918985692,0.04483857272069636,0.021363918945574226,0.021137326929067446
D en su cuartil bajo,0.0869565217391304,7,0.055669111135983676,0.05414794397100642,0.04648615491418157,0.04542222331028045
D en su cuartil bajo,0.0869565217391304,14,0.06780658239986706,0.06555880652744728,0.07254525781229933,0.0699763451282116
D en su cuartil bajo,0.0869565217391304,30,0.04779336249060971,0.04666923938025758,0.06368162873969635,0.06169631909213846
D en su mediana,0.3076923076923077,3,0.05166050487707104,0.0503487859222006,0.02798520127955528,0.027597242988671056
D en su mediana,0.3076923076923077,7,0.06268990661846534,0.06076532100595522,0.056192136238537235,0.05464251899076189
D en su mediana,0.3076923076923077,14,0.07635811371914103,0.07351563961642837,0.08211338952718206,0.07883249797319591
D en su mediana,0.3076923076923077,30,0.05382089583216128,0.05239818926226869,0.06705492877431604,0.06485616637858338
D en su cuartil alto,0.5714285714285714,3,0.05953751225506112,0.05779981112549948,0.03863815432538659,0.03790122254976491
D en su cuartil alto,0.5714285714285714,7,0.07224863737679234,0.0697004401891731,0.07048067292240097,0.06805424886040579
D en su cuartil alto,0.5714285714285714,14,0.0880009233774345,0.08423996886921292,0.09521391321854872,0.0908215716185885
D en su cuartil alto,0.5714285714285714,30,0.0620273118276839,0.06014278277781515,0.07132045540043064,0.06883655204445827
D una decima sobre la mediana,0.4076923076923077,3,0.05451643654241393,0.053057055737955605,0.03162606151381242,0.031131188314062475
D una decima sobre la mediana,0.4076923076923077,7,0.06615557327881051,0.06401476132831341,0.06123270668208705,0.059395670606606665
D una decima sobre la mediana,0.4076923076923077,14,0.08057939563257308,0.07741834827798266,0.08685388571043394,0.08318895495853473
D una decima sobre la mediana,0.4076923076923077,30,0.0567962597204924,0.055213459167333334,0.06864139147835317,0.06633856100072821
