grupo,n,media,mediana,p25,p75,p90,max,amplitud_mediana,menciones_mediana
Todos los eventos,2791,16.4,11.0,7.0,20.0,32.0,366,16.4,799
Regimen rapido,2779,16.0,11.0,7.0,19.5,31.0,366,16.6,795
Regimen lento,12,121.2,101.5,82.75,158.75,174.5,247,5.6,5194
2020,606,17.5,11.0,7.0,22.0,36.0,179,21.2,873
2021,877,18.3,11.0,7.0,21.0,32.0,366,17.0,846
2022,355,16.2,12.0,7.0,20.0,31.6,192,10.7,661
2023,177,12.0,10.0,5.0,15.0,22.0,121,18.3,625
2024,293,14.8,9.0,5.0,17.0,30.0,247,22.0,840
2025,334,14.2,10.0,6.0,18.0,29.0,122,13.2,759
2026,149,15.6,11.0,7.0,21.0,33.0,155,13.0,769
