especificacion,tabla_o_figura,covariables,interacciones,estratos,eventos,filas_evento_dia,muertes,censurados,HR_D,origen,nota
"Solo sentimiento, duro (F11)",texto 5.3,"B(t-1), D(t-1), silencio(t-1), log(1+mensajes)(t-1)",ninguna,ninguno,2791,45882,2785,6,"1.786 [1.39, 2.30]",celda_F11.py; tabla_startstop_bt.csv,catalogo principal completo; sin covariables de mercado
"Solo sentimiento, probabilistico (F11)",texto 5.3,"B(t-1), D(t-1), silencio(t-1), log(1+mensajes)(t-1)",ninguna,ninguno,2791,45882,2785,6,"1.920 [1.37, 2.69]",celda_F11.py; tabla_startstop_bt.csv,catalogo principal completo; sin covariables de mercado
I1 (sentimiento + conocido al encendido),Tabla 5.2,"B, D, silencio, volumen (t-1); log z, log base previa",ninguna,ninguno,2636,39979,2630,6,"1.770 [1.37, 2.29]",celda_S5.py; cox_integrado.csv,"2,636 eventos con cruce completo de precios"
I2 (completo con realizadas),"Tabla 5.2, 6.3, 6.4, E.2","I1 + log amplitud, log razon de volumen, retorno encendido-pico, desacoplado",ninguna,ninguno,2636,39979,2630,6,"1.713 [1.32, 2.23]",celda_S5.py; cox_integrado.csv,
I3 (I2 estratificado por anio),Tabla 5.2,las de I2,ninguna,anio de inicio,2636,39979,2630,6,"1.732 [1.33, 2.25]",celda_S5.py; cox_integrado.csv,
"I2-tv (especificacion final, coeficientes dependientes de la edad)",Tabla 5.5,las de I2,"siete covariables x log(t) (todas salvo B, razon de volumen y retorno)",ninguno,2636,39979,2630,6,dia 3: 3.398,cox_tv_final.py; cox_tv_final.csv,
"P0 volumen + encendido, sin entrada retardada",Tabla 5.3,"volumen (t-1), log z, log base previa",ninguna,ninguno,2636,39979,2630,6,,"prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"P1 P0 + silencio, sin entrada retardada",Tabla 5.3,"volumen (t-1), log z, log base previa + silencio",ninguna,ninguno,2636,39979,2630,6,,"prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"P2 P1 + B y D (= I1), sin entrada retardada",Tabla 5.3,"volumen (t-1), log z, log base previa + silencio + B y D",ninguna,ninguno,2636,39979,2630,6,"1.770 [1.37, 2.29]","prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"P0 volumen + encendido, con entrada retardada al dia siguiente de la elegibilidad",Tabla 5.3,"volumen (t-1), log z, log base previa",ninguna,ninguno,2186,23009,2181,5,,"prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"P1 P0 + silencio, con entrada retardada al dia siguiente de la elegibilidad",Tabla 5.3,"volumen (t-1), log z, log base previa + silencio",ninguna,ninguno,2186,23009,2181,5,,"prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"P2 P1 + B y D (= I1), con entrada retardada al dia siguiente de la elegibilidad",Tabla 5.3,"volumen (t-1), log z, log base previa + silencio + B y D",ninguna,ninguno,2186,23009,2181,5,"1.291 [0.98, 1.71]","prospectivo.py / prospectivo_elegible.py; prospectivo_anidado.csv, prospectivo_elegible.csv","muertes tomadas de la salida impresa de los scripts (2,630 y 2,181)"
"Robustez kappa 0.25 (K3): sentimiento + encendido, estratos de anio","Tabla E.3, Figura 6.1, texto 6.2","B, D, silencio, volumen (t-1); log z, log base previa",ninguna,anio de inicio,2791,45882,2785,6,"1.738 [1.35, 2.24]",celda_K3.py; robustez_kappa_integrado.csv,catalogo completo de la cota (2791 eventos) sin cruce de precios
"Robustez kappa 0.50 (K3): sentimiento + encendido, estratos de anio","Tabla E.3, Figura 6.1, texto 6.2","B, D, silencio, volumen (t-1); log z, log base previa",ninguna,anio de inicio,1826,18133,1823,3,"2.666 [1.88, 3.78]",celda_K3.py; robustez_kappa_integrado.csv,catalogo completo de la cota (1826 eventos) sin cruce de precios
"Robustez kappa 0.10 (K3): sentimiento + encendido, estratos de anio","Tabla E.3, Figura 6.1, texto 6.2","B, D, silencio, volumen (t-1); log z, log base previa",ninguna,anio de inicio,2621,53240,1968,653,"1.417 [1.09, 1.85]",celda_K3.py; robustez_kappa_integrado.csv,catalogo completo de la cota (3272 eventos) sin cruce de precios; 651 sin arranque cubierto por el panel clasificado y 647 truncados por censura administrativa
Clasificador v2b sobre la submuestra del 50% (F14),texto 6.4,"B, D, silencio, volumen (t-1)",ninguna,ninguno,1396,21653,1393,3,"1.810 [1.26, 2.61]","celda_F13.py, celda_F14.py; robustez_clasificador_v1.csv",misma construccion de F11 sobre los mismos eventos; solo cambian las etiquetas
Clasificador v1 sobre la submuestra del 50% (F14),texto 6.4,"B, D, silencio, volumen (t-1)",ninguna,ninguno,1396,21653,1393,3,"1.991 [1.39, 2.85]","celda_F13.py, celda_F14.py; robustez_clasificador_v1.csv",misma construccion de F11 sobre los mismos eventos; solo cambian las etiquetas
"Submuestra de 150 eventos, oficial v2b (F11) (R5 alineada)",texto 6.4,"B, D, silencio, volumen (t-1)",ninguna,ninguno,150,2702,150,0,"3.548 [1.24, 10.17]",robustez_v1_alineada.py; robustez_v1_alineada.csv,reconstruccion con las reglas exactas de F11 (dia 0 con rezago del dia previo)
"Submuestra de 150 eventos, reconstruido v2b (alineado a F11) (R5 alineada)",texto 6.4,"B, D, silencio, volumen (t-1)",ninguna,ninguno,150,2702,150,0,"3.844 [1.35, 10.99]",robustez_v1_alineada.py; robustez_v1_alineada.csv,reconstruccion con las reglas exactas de F11 (dia 0 con rezago del dia previo)
"Submuestra de 150 eventos, reconstruido v1 (alineado a F11) (R5 alineada)",texto 6.4,"B, D, silencio, volumen (t-1)",ninguna,ninguno,150,2702,150,0,"3.341 [1.05, 10.61]",robustez_v1_alineada.py; robustez_v1_alineada.csv,reconstruccion con las reglas exactas de F11 (dia 0 con rezago del dia previo)
Sensibilidad al error: base (conteos observados de v2b; referencia 1.73-1.79),Tabla 6.3,"las de I2, con B y D reconstruidos",ninguna,ninguno,2636,39979,2630,6,1.713,sensibilidad_error_clasificador.py; sensibilidad_error_clasificador.csv,"muertes = las de I2 (misma tabla); E4 tiene 20 replicas, se lista la primera"
"Sensibilidad al error: E1 inversion 3x3, matriz del patron de referencia",Tabla 6.3,"las de I2, con B y D reconstruidos",ninguna,ninguno,2636,39979,2630,6,1.710,sensibilidad_error_clasificador.py; sensibilidad_error_clasificador.csv,"muertes = las de I2 (misma tabla); E4 tiene 20 replicas, se lista la primera"
"Sensibilidad al error: E2 inversion 2x2, matriz del archivo StockTwits 2020-22",Tabla 6.3,"las de I2, con B y D reconstruidos",ninguna,ninguno,2636,39979,2630,6,1.147,sensibilidad_error_clasificador.py; sensibilidad_error_clasificador.csv,"muertes = las de I2 (misma tabla); E4 tiene 20 replicas, se lista la primera"
"Sensibilidad al error: E3 inversion 2x2, matriz de StockEmotions 2020",Tabla 6.3,"las de I2, con B y D reconstruidos",ninguna,ninguno,2636,39979,2630,6,1.120,sensibilidad_error_clasificador.py; sensibilidad_error_clasificador.csv,"muertes = las de I2 (misma tabla); E4 tiene 20 replicas, se lista la primera"
Sensibilidad al error: E4 replica 01 (v2b como verdad + error 3x3),Tabla 6.3,"las de I2, con B y D reconstruidos",ninguna,ninguno,2636,39979,2630,6,0.878,sensibilidad_error_clasificador.py; sensibilidad_error_clasificador.csv,"muertes = las de I2 (misma tabla); E4 tiene 20 replicas, se lista la primera"
Subpoblacion de precio: base: todos los eventos del I2,Tabla 6.4,las de I2,ninguna,ninguno,2636,39979,2630,6,"1.713 [1.32, 2.23]",cox_subpoblacion_precio.py; cox_subpoblacion_precio.csv,
Subpoblacion de precio: P20: subida >= 20% y caida tras el pico,Tabla 6.4,las de I2,ninguna,ninguno,559,9581,558,1,"1.137 [0.57, 2.26]",cox_subpoblacion_precio.py; cox_subpoblacion_precio.csv,
Subpoblacion de precio: P10: subida >= 10% y caida tras el pico,Tabla 6.4,las de I2,ninguna,ninguno,763,12603,761,2,"1.462 [0.81, 2.63]",cox_subpoblacion_precio.py; cox_subpoblacion_precio.csv,
