replica,C_M0,C_M1,C_M2,dC_M2_M0,dC_M2_M1
1,0.7067442148693529,0.7050812274314193,0.71340754059276,0.00666332572340711,0.008326313161340693
2,0.6984328507079374,0.6968085472278723,0.7055671050282227,0.00713425432028536,0.008758557800350397
3,0.7043167176409211,0.7064612858913794,0.7190830976073211,0.014766379966400067,0.012621811715941789
4,0.699820869801823,0.6986796755845898,0.7114386744604017,0.011617804658578645,0.012758998875811889
5,0.6994410718567721,0.6961296682235748,0.7095422116616712,0.010101139804899129,0.013412543438096391
6,0.6992770040050212,0.7010299479945006,0.7104767170781278,0.01119971307310652,0.009446769083627182
7,0.7027684914520942,0.703168655824545,0.7117691990671206,0.00900070761502636,0.008600543242575531
8,0.6978115023752561,0.699826056513262,0.7124725814223098,0.014661079047053716,0.01264652490904783
9,0.6937640027527718,0.6953443641602506,0.710265679568864,0.01650167681609216,0.014921315408613411
10,0.6933130726310353,0.6937790886863482,0.7002704744049414,0.006957401773906136,0.006491385718593201
11,0.7008678459620471,0.7006664868176979,0.705323141095101,0.0044552951330538715,0.004656654277403027
12,0.699677541933888,0.6998502126418857,0.7099147042551082,0.010237162321220183,0.010064491613222426
13,0.7090535816893315,0.7086319072016855,0.714829235299751,0.005775653610419429,0.006197328098065502
14,0.6895024867725026,0.690347333551558,0.7010676934604786,0.011565206687976004,0.010720359908920618
15,0.6965901632868172,0.6952108100116687,0.7059499536275136,0.009359790340696339,0.010739143615844826
16,0.6935846896738334,0.6933930016159994,0.7071849423780898,0.013600252704256466,0.013791940762090449
17,0.7068726601338096,0.70778909058933,0.7214706435680729,0.014597983434263329,0.01368155297874285
18,0.7029275522884134,0.7002338568412858,0.7077777611426347,0.004850208854221272,0.0075439043013488805
19,0.693895886839501,0.6950179840520476,0.7048812574186083,0.010985370579107312,0.009863273366560676
20,0.7092965759665152,0.7096207331279639,0.7196881626065708,0.010391586640055572,0.010067429478606837
21,0.7038289523610853,0.7029963368514186,0.711387530668604,0.007558578307518715,0.00839119381718545
22,0.6995263760375363,0.6988138047692102,0.7085837362327557,0.00905736019521941,0.009769931463545545
23,0.7016745568888307,0.7022246898475952,0.7106342494841008,0.008959692595270075,0.008409559636505581
24,0.7152720542712481,0.7148592144444315,0.7261147049002383,0.010842650628990258,0.011255490455806871
25,0.7127217582286235,0.712084385411842,0.7231545920425513,0.010432833813927789,0.011070206630709234
26,0.7137221380504829,0.7136925592614027,0.7264604377720539,0.012738299721571034,0.012767878510651198
27,0.7071253930490425,0.7077236120451006,0.7185475434397413,0.011422150390698715,0.010823931394640662
28,0.6923276406543444,0.6945722663100601,0.7034957960697988,0.011168155415454462,0.008923529759738758
29,0.7026439104723408,0.7031334680739576,0.7140606332809342,0.011416722808593405,0.010927165206976563
30,0.703274443394905,0.7032846195379552,0.7182540252631731,0.014979581868268088,0.014969405725217877
31,0.712026993087282,0.7138054034013442,0.7213074365536872,0.00928044346640522,0.007502033152342991
32,0.7076922478802611,0.7106481592244531,0.7232391931594159,0.015546945279154789,0.012591033934962748
33,0.6953441102032135,0.694846114136994,0.706327208808227,0.010983098605013453,0.011481094671232928
34,0.6955746042897287,0.6952418587868708,0.7040826140773451,0.008508009787616344,0.008840755290474234
35,0.7058593866598213,0.7053516527470166,0.7129076646627942,0.007048278002972919,0.007556011915777594
36,0.6985504665925584,0.6989830472017741,0.7102641998020526,0.011713733209494204,0.01128115260027851
37,0.7115317448084627,0.709145814970722,0.7199094352271826,0.00837769041871994,0.010763620256460604
38,0.6960340788810541,0.6978776581554109,0.7097550169644545,0.013720938083400469,0.011877358809043614
39,0.7024231764332757,0.7005588720374406,0.7086228495735459,0.0061996731402702565,0.008063977536105327
40,0.7026583656045183,0.70235092622828,0.7148359497518696,0.012177584147351261,0.0124850235235896
41,0.707115631632691,0.7061319134112487,0.7163719203065537,0.009256288673862745,0.01024000689530502
42,0.7033253720594935,0.7024090217518617,0.7115281901287593,0.008202818069265816,0.009119168376897635
43,0.7005469743145315,0.7007456781906934,0.7110666088909211,0.010519634576389603,0.01032093070022766
44,0.6922464800904791,0.6920598759920071,0.699095807448494,0.006849327358014912,0.007035931456486844
45,0.7086833803752283,0.7085879503943592,0.7181871893477406,0.009503808972512351,0.00959923895338144
46,0.6990114528587646,0.6978831012168457,0.7124151832287164,0.013403730369951794,0.014532082011870728
47,0.705818405270091,0.7042550854288594,0.7149953890595148,0.009176983789423776,0.010740303630655368
48,0.698538958616264,0.700508305102452,0.7117193726028623,0.013180413986598305,0.011211067500410343
49,0.6987410937297347,0.6972815442296693,0.7103403882210411,0.011599294491306367,0.013058843991371805
50,0.7034016610365325,0.7050337673562598,0.7115063047242022,0.008104643687669721,0.006472537367942399
51,0.6978233179879019,0.6977910642104022,0.7078390118398241,0.010015693851922247,0.01004794762942196
52,0.6933891548001289,0.6921952398572435,0.7042818009286337,0.010892646128504824,0.012086561071390167
53,0.7076060760370825,0.7082016190257252,0.7180336231522657,0.010427547115183233,0.009832004126540506
54,0.7047614660126911,0.7058692080616579,0.7136138296943074,0.008852363681616349,0.007744621632649551
55,0.6979533264976733,0.6991528707069141,0.7094219782688481,0.011468651771174843,0.010269107561933999
56,0.7058639938116558,0.7053729881161092,0.711357642694797,0.005493648883141189,0.005984654578687798
57,0.7050099322953023,0.7066629222421805,0.7152439947147389,0.010234062419436585,0.008581072472558349
