tabla,forma,k,logL,AIC,RV_D_vs_misma_forma_sin_D,C_startstop,HR_D,lo_D,hi_D,p_D,HR_absB,p_absB
I2 (integrada),sin B ni D,8,-17671.21440313675,35358.4288062735,,,,,,,,
I2 (integrada),B lineal,9,-17592.861557668337,35203.723115336674,,0.7064615754066673,,,,,,
I2 (integrada),B + D,10,-17584.3767129403,35188.7534258806,16.969689456076594,0.7084952515878573,1.7127269953452315,1.3178908558389566,2.225854855572929,5.710238319697296e-05,,
I2 (integrada),B + |B|,10,-17587.624294551424,35195.24858910285,,0.7055426349456223,,,,,0.7638014352569964,0.0021503111550653657
I2 (integrada),B + |B| + D,11,-17583.813042549857,35189.62608509971,7.622504003134964,0.7079383362592003,1.55694037803666,1.1347016200046673,2.136300237899517,0.006090154086530001,0.8953176249957558,0.2932241147448812
I2 (integrada),"B cubico (B, |B|, B^2, B^3)",12,-17581.04458502498,35186.08917004996,,0.7063777062509975,,,,,0.7321597048345722,0.060074298674251694
I2 (integrada),B cubico + D,13,-17580.286078194575,35186.57215638915,1.5170136608139728,0.7074248639464299,1.3006166890281838,0.8515113262126051,1.9865898663998234,0.2239133922598859,0.9021841880458891,0.665402662134319
I2 (integrada),B + |B| + log N dir,11,-17553.76255199667,35129.52510399334,,,,,,,0.769070115620829,0.0029438812560459503
I2 (integrada),B + |B| + log N dir + D,12,-17553.349242037602,35130.698484075205,0.8266199181380216,,1.1659453161504638,0.8370540968297469,1.62406287168523,0.3638662984819244,0.8117719787592963,0.05022439353244839
F11 (solo sentimiento),sin B ni D,2,-18979.34809297112,37962.69618594224,,,,,,,,
F11 (solo sentimiento),B lineal,3,-18931.086107039828,37868.172214079656,,0.6949894717720958,,,,,,
F11 (solo sentimiento),B + D,4,-18920.557348405386,37849.11469681077,21.057517268884112,0.6961888782358581,1.786134422537418,1.3861132456048184,2.3015985061026,7.330325219512359e-06,,
F11 (solo sentimiento),B + |B|,4,-18929.767864454694,37867.53572890939,,0.6946006421197907,,,,,0.8775233310173042,0.11423082981688586
F11 (solo sentimiento),B + |B| + D,5,-18920.069231981302,37850.138463962605,19.397264946783253,0.6963764408462997,1.9275181185803092,1.4360309270303757,2.587218720378427,1.2447283511380865e-05,1.1025589795369166,0.3179464050487942
F11 (solo sentimiento),"B cubico (B, |B|, B^2, B^3)",6,-18924.59787059136,37861.19574118272,,0.6950241359221632,,,,,0.7725095829783711,0.11295722088654009
F11 (solo sentimiento),B cubico + D,7,-18918.800272358334,37851.60054471667,11.595196466048947,0.6963404331245244,1.995612695375875,1.323259867026331,3.0095902771500893,0.000980139316228969,1.3485314841084735,0.1989593858178241
F11 (solo sentimiento),B + |B| + log N dir,5,-18913.02375121364,37836.04750242728,,,,,,,0.8901208683133959,0.15960897955609074
F11 (solo sentimiento),B + |B| + log N dir + D,6,-18907.16619923012,37826.33239846024,11.715103967042523,,1.6873044994752275,1.2487661801471794,2.2798475160608542,0.0006576571906537635,1.0639255997988226,0.526923069461244
