tabla,contraste,HR,lo,hi
I2 (integrada),"silencio contra perfil de codificacion (D = 0.5, B = 0): el HR de la dummy",1.9468563546402846,1.6446795333383244,2.3045520958784684
I2 (integrada),"silencio contra dia equilibrado real (D = 1, B = 0)",1.5190774091119914,1.2377361464215486,1.8643684128850502
I2 (integrada),"silencio contra dia mediano con direccionales (D = 0.31, B = 1.25)",2.5765387324751736,2.1742535303971247,3.0532556333171748
I2 (integrada),"silencio contra coro alcista 3:0 (D = 0, B = 1.39)",3.061269683872619,2.5663689166209585,3.651607536509794
I2 (integrada),"silencio contra coro bajista 0:3 (D = 0, B = -1.39)",2.033640747654466,1.4946782893539727,2.7669463857056082
I2 (integrada),"silencio contra dia dividido 2:1 (D = 0.67, B = 0.41)",1.9027960591070343,1.5963003722766869,2.268140072779295
F11 (solo sentimiento),"silencio contra perfil de codificacion (D = 0.5, B = 0): el HR de la dummy",1.175498627424342,1.0073253632856585,1.371748467217598
F11 (solo sentimiento),"silencio contra dia equilibrado real (D = 1, B = 0)",0.8795591607206454,0.7270584002783522,1.0640470104071782
F11 (solo sentimiento),"silencio contra dia mediano con direccionales (D = 0.30, B = 1.25)",1.4412213274110748,1.2384151774988261,1.6772395496473231
F11 (solo sentimiento),"silencio contra coro alcista 3:0 (D = 0, B = 1.39)",1.7312856320608967,1.4787160213237065,2.0269949716899345
F11 (solo sentimiento),"silencio contra coro bajista 0:3 (D = 0, B = -1.39)",1.4255736789883302,1.0590696231237022,1.9189109666182442
F11 (solo sentimiento),"silencio contra dia dividido 2:1 (D = 0.67, B = 0.41)",1.0979336159890087,0.9352872537855113,1.2888641647148407
