tabla,modelo,covariable,nombre,HR,lo,hi,p
I2 (integrada),D x bajista,b_duro_lag,B: optimismo neto (t-1),0.8700831098035609,0.774770941920974,0.9771205617087446,0.018725065367209467
I2 (integrada),D x bajista,d_duro_lag,D: desacuerdo (t-1),1.9143490675239312,1.37136749325117,2.672319688460443,0.00013586888893186877
I2 (integrada),D x bajista,bajista,Dia bajista (B<0),1.3566792363007825,0.7867838571425435,2.3393699978725064,0.27250017715730696
I2 (integrada),D x bajista,D_x_bajista,D x bajista,0.5855641024716077,0.30610902805075946,1.1201411480308308,0.10584797379426189
I2 (integrada),tramos + D,Bpos,B+ (intensidad alcista),0.8181920035743663,0.7292544798518207,0.9179760607697067,0.000631656438262894
I2 (integrada),tramos + D,Bneg,B- (intensidad bajista),0.9797133754988856,0.6921113079183282,1.386826493296776,0.907975565953604
I2 (integrada),tramos + D,d_duro_lag,D: desacuerdo (t-1),1.5569403780366575,1.1347016200046642,2.136300237899516,0.00609015408653039
I2 (integrada),tramos sin D,Bpos,B+ (intensidad alcista),0.7089807882679439,0.6711362564681954,0.7489593257533321,1.0482122331016108e-34
I2 (integrada),tramos sin D,Bneg,B- (intensidad bajista),0.8228609888370745,0.5959597826600208,1.1361508387826829,0.23622271793142727
I2 (integrada),D x bajista,D_en_bajistas,D en dias bajistas (combinado),1.12097409354201,0.6643968566491387,1.8913137619733198,
F11 (solo sentimiento),D x bajista,b_duro_lag,B: optimismo neto (t-1),0.9976892868932863,0.8976985141097523,1.1088176013845321,0.9657541614740237
F11 (solo sentimiento),D x bajista,d_duro_lag,D: desacuerdo (t-1),2.158785324034277,1.582614705352483,2.944718041292189,1.1851675422212246e-06
F11 (solo sentimiento),D x bajista,bajista,Dia bajista (B<0),1.7206508919054164,1.0372670045035688,2.8542694204679284,0.03558313547854349
F11 (solo sentimiento),D x bajista,D_x_bajista,D x bajista,0.5421778512589117,0.295597928995861,0.9944481796414975,0.047934072524466534
F11 (solo sentimiento),tramos + D,Bpos,B+ (intensidad alcista),0.9634101568634639,0.8681014036791402,1.0691828470890734,0.4830871543089874
F11 (solo sentimiento),tramos + D,Bneg,B- (intensidad bajista),1.2618055712793654,0.9096705792355204,1.7502526035850015,0.1636523590824229
F11 (solo sentimiento),tramos + D,d_duro_lag,D: desacuerdo (t-1),1.9275181185802985,1.4360309270303682,2.5872187203784116,1.24472835113827e-05
F11 (solo sentimiento),tramos sin D,Bpos,B+ (intensidad alcista),0.7837054223151709,0.7446069267966045,0.8248569370802706,1.0189832394182755e-20
F11 (solo sentimiento),tramos sin D,Bneg,B- (intensidad bajista),0.9825722453276813,0.7241645930045942,1.3331889277858633,0.9100919000935654
F11 (solo sentimiento),D x bajista,D_en_bajistas,D en dias bajistas (combinado),1.1704455883141778,0.7122528041309358,1.9233941477782943,
