especificacion,covariable,nombre,coef,HR,se_conv,lo_conv,hi_conv,p_conv,replicas_ticker,se_boot_ticker,HR_boot_mediana_ticker,lo_boot_ticker,hi_boot_ticker,razon_se_ticker,excluye_1_ticker,replicas_calendario,se_boot_calendario,HR_boot_mediana_calendario,lo_boot_calendario,hi_boot_calendario,razon_se_calendario,excluye_1_calendario
Solo sentimiento (F11),b_duro_lag,B: optimismo neto (t-1),-0.07007528971987634,0.9323236228790235,0.04201032427065527,0.8586327226615719,1.01233893705315,0.09530595125811436,200,0.05584955133116817,0.9385331333452334,0.8412684323442232,1.0446813280829546,1.3294244284179393,0,200,0.0707961725810585,0.9237070845741838,0.7966609200827932,1.0483005867695039,1.6852089054335269,0
Solo sentimiento (F11),d_duro_lag,D: desacuerdo (t-1),0.5800537442006924,1.7861344225374178,0.1293646934255868,1.386113245604818,2.3015985061026,7.330325219512485e-06,200,0.15931833752447874,1.8092035202612304,1.3150497617274286,2.373647345050086,1.231544197305441,1,200,0.16497358406760868,1.7810751901762565,1.2267476505875732,2.344782281505242,1.2752597304495978,1
Solo sentimiento (F11),sin_direccion_lag,Sin direccion (t-1),0.1616924213446829,1.1754986274243422,0.07877232562229312,1.0073282210934642,1.3717445755431716,0.04010603290772545,200,0.11096936678295134,1.1944655188574833,0.9916766034219805,1.484873130900522,1.4087354398426728,0,200,0.09131475717357633,1.161586689244892,1.0163038327697935,1.4076479485554492,1.1592238321288513,1
Solo sentimiento (F11),log1p_n_lag,log(1+mensajes) (t-1),0.27119540572573353,1.3115313260774522,0.014006159813630148,1.2760174200794687,1.3480336492391725,1.5968056878303192e-83,200,0.03310111187952843,1.3095805780606655,1.2403198272247151,1.40927473046264,2.3633253025797947,1,200,0.018492961401430773,1.3137409274976575,1.2724149284378234,1.3647093141011137,1.3203448802172224,1
I1,b_duro_lag,B: optimismo neto (t-1),-0.1424341715000195,0.8672446418271286,0.04232829382319185,0.7981999867873946,0.9422616903377554,0.000765471799937081,200,0.05424681173210159,0.8635377895290914,0.7744003685922993,0.9603678077054145,1.281573312609627,1,200,0.0905217174198669,0.8551315274171846,0.7062950928310178,1.0079153514030201,2.1385628676171606,0
I1,d_duro_lag,D: desacuerdo (t-1),0.5678771209321317,1.764517215955723,0.1311567685127544,1.3645361831339389,2.2817430888884838,1.4927301670250125e-05,200,0.16457486763795223,1.7481173143478943,1.2446366756665648,2.3102454183191132,1.254795078470907,1,200,0.18363057690056858,1.7266597176922445,1.2482483092178953,2.4028588690712898,1.400084639037987,1
I1,sin_direccion_lag,Sin direccion (t-1),0.45022258932170584,1.5686613138904455,0.08314680801195873,1.3327678102810696,1.8463068350799667,6.136032870345063e-08,200,0.10170301676016272,1.5668847197974467,1.2917001777728803,1.898236652014983,1.2231740362845331,1,200,0.09359873562965318,1.5534238280845332,1.360755225462809,1.9734381923497957,1.1257044962711158,1
I1,log1p_n_lag,log(1+mensajes) (t-1),0.3327422688510297,1.394787771886176,0.016851161019434853,1.3494736130517326,1.4416235410515024,8.690610505088079e-87,200,0.025787555136388328,1.3965642965580851,1.328773424722084,1.469788083893927,1.5303132589289792,1,200,0.031045716406516904,1.407977959279796,1.3319968346573055,1.4894020341791736,1.8423488073439644,1
I1,log_z_inicio,log z del encendido,0.14148569055090818,1.1519840198861806,0.033441066975043295,1.0789004316680564,1.230018214026835,2.327618435189036e-05,200,0.04952439716554057,1.156095097227761,1.0469943110334916,1.2665337088891855,1.4809454854565522,1,200,0.048525797254091035,1.1462186117032556,1.059500227740316,1.2792643420886676,1.451084000708031,1
I1,log_base_previa,log base previa,-0.1482215944490423,0.8622400261671808,0.01901401088118502,0.8306984957359872,0.894979185036428,6.421081002433673e-15,200,0.03690066316600551,0.8685475305793151,0.8186664454434208,0.9569321274141385,1.940709059050761,1,200,0.03803368964604998,0.8532750676575698,0.8073323616216501,0.9322669914452201,2.0002980898514973,1
I2,b_duro_lag,B: optimismo neto (t-1),-0.14751632564172373,0.8628483516533377,0.04293402291826957,0.7932114364904511,0.9385987691313936,0.000590623634811148,200,0.05609927182914356,0.8582115220275841,0.7713770918066937,0.9592732348824176,1.3066390712078328,1,200,0.09482280336144122,0.8472736020833743,0.6881011946732907,1.005183574679916,2.208570194830068,0
I2,d_duro_lag,D: desacuerdo (t-1),0.49622552597554714,1.6425099447088294,0.13381811672259483,1.2635773145078864,2.1350802103614086,0.0002087304650614636,200,0.1698497873135396,1.6292806355723073,1.1510799689430908,2.2219569497449823,1.2692585389289142,1,200,0.1944028689145968,1.5859842930807266,1.0829400219984229,2.304889786798201,1.452739536886431,1
I2,sin_direccion_lag,Sin direccion (t-1),0.6662159458770195,1.9468563546402844,0.08605632306041078,1.6446846307969853,2.3045449532574325,9.815265940183681e-15,200,0.11098231647005079,1.9296623696001183,1.5705759233372025,2.400419695296333,1.2896474369715074,1,200,0.09510738510073455,1.9276129094397163,1.6553306926390479,2.4037231440552764,1.105176025635792,1
I2,log1p_n_lag,log(1+mensajes) (t-1),0.44152756811892757,1.5550808970726355,0.020547277997151597,1.4936990738018303,1.6189851348606155,1.999987355574883e-102,200,0.033250091453130425,1.5583485640495196,1.4608897471063194,1.6453711534268873,1.6182236624111368,1,200,0.04246451218294676,1.5763351248390296,1.4575216933699489,1.701467401309579,2.066673366118543,1
I2,log_z_inicio,log z del encendido,0.28488328682176517,1.3296068364255098,0.03780889377466611,1.2346397371670004,1.4318786980937162,4.8900118329945797e-14,200,0.043953813371288473,1.3290012579226087,1.2246387439946629,1.4406743258917625,1.1625257706095535,1,200,0.057450959927292176,1.3379249523571475,1.216763196791078,1.5179648531564913,1.5195091469665598,1
I2,log_base_previa,log base previa,-0.3021387913394525,0.7392354582898161,0.024831085927073875,0.704119758733907,0.7761024399820454,4.615538061395613e-34,200,0.04862003093914961,0.7436661853062206,0.6896435318125997,0.8316092008725601,1.9580307958315317,1,200,0.052552281321233615,0.7255643338869413,0.6609975805809067,0.7994471603942747,2.1163907803135875,1
I2,log_amplitud,log amplitud,-0.26426509339100995,0.767769981928969,0.028150209332338465,0.7265568916324546,0.8113208365923897,6.133767426235008e-21,200,0.04193814053134264,0.7672679944123774,0.716532994798199,0.8354622051159217,1.4897985317347124,1,200,0.06422859396880971,0.7553693841580855,0.6676844778378368,0.8393418940401421,2.281638236168462,1
I2,log_vol_ratio,log razon de volumen,0.022938933527783263,1.02320405417741,0.02496419256506829,0.9743448478156044,1.074513339740288,0.3581617730788619,200,0.02829031055168932,1.0248494311464096,0.9729731444622832,1.082340649776517,1.1332355523997668,0,200,0.03684297931376148,1.039185993891113,0.970176696047723,1.111296400097213,1.4758330043213514,0
I2,ret_encendido_pico,Retorno encendido-pico,-0.14158362467096633,0.8679825877915603,0.025639953190981227,0.8254413966417118,0.9127162458467651,3.351771387471813e-08,200,0.034572631166183976,0.8667000509089012,0.7988766235613943,0.9147359556579493,1.3483890125955764,1,200,0.03999867836543238,0.8618540208098271,0.780457921809071,0.9163477323338299,1.560013704685771,1
