covariable,nombre,dia,HR,lo_delta,hi_delta,lo_boot_ticker,hi_boot_ticker,lo_boot_calendario,hi_boot_calendario
d_duro_lag,D: desacuerdo (t-1),3,3.339562962744193,2.2762850368981473,4.89950977199689,2.0777437847805866,5.398597703289198,1.9400396417989376,5.346469217800145
d_duro_lag,D: desacuerdo (t-1),7,2.2937203484779083,1.719947336939117,3.05890356293383,1.6100320305962454,3.2536791475177496,1.4748163666231204,3.382812308266092
d_duro_lag,D: desacuerdo (t-1),14,1.6868379764069705,1.2928927049665746,2.2008186353888717,1.1768214533006347,2.2777195785703928,1.078114778971792,2.4913618560531243
d_duro_lag,D: desacuerdo (t-1),30,1.2031548745407312,0.878062472013448,1.648608952403733,0.7771004787845445,1.668760932962357,0.7919946039815291,1.8177916325172927
sin_direccion_lag,Sin direccion (t-1),3,2.0294863603051385,1.3850236548456814,2.973822773534879,1.311917957323546,3.395137327680898,1.4572808653318705,3.216428280300282
sin_direccion_lag,Sin direccion (t-1),7,1.8570435344604952,1.4712937279436775,2.3439308027917756,1.4451222340564,2.5616704268647434,1.4518615840387579,2.5545223944745903
sin_direccion_lag,Sin direccion (t-1),14,1.7269273675529164,1.4473805293979347,2.060465836198433,1.399334173423764,2.1426778973731078,1.4323231673455559,2.181078936000439
sin_direccion_lag,Sin direccion (t-1),30,1.5943582245117283,1.2482147458801178,2.0364910416723516,1.1565260984646506,2.109603910733107,1.2641114359043102,2.0656830059150577
log1p_n_lag,log(1+mensajes) (t-1),3,1.7679137535887868,1.6435250655545928,1.9017166854548184,1.6227990477444267,1.972449833350913,1.6179063857019464,1.9658536068045758
log1p_n_lag,log(1+mensajes) (t-1),7,1.610370872413833,1.5394735671028086,1.684533208062354,1.5104126217170752,1.717135015308328,1.5061030012041923,1.7721161132171528
log1p_n_lag,log(1+mensajes) (t-1),14,1.4919881956535004,1.4294193515301488,1.5572958163652213,1.4034872102177833,1.5909859453243878,1.3934097503124498,1.6442896605203607
log1p_n_lag,log(1+mensajes) (t-1),30,1.371842372398445,1.2855016188957211,1.4639822051133924,1.2414947469878885,1.500166806718712,1.2449888899122072,1.5621001081973465
log_z_inicio,log z del encendido,3,1.5627753543172993,1.3866831427815278,1.7612291753706995,1.3793640478065887,1.7654850268048918,1.3607938254546712,1.735802634050153
log_z_inicio,log z del encendido,7,1.3274606082964169,1.2311487592845103,1.431306861408672,1.2345439812462335,1.4346702283936699,1.2177794929010033,1.4644029179329097
log_z_inicio,log z del encendido,14,1.1615586755511549,1.0635082143940104,1.2686489285998994,1.0612236478849246,1.2738125142197245,1.045817847332476,1.339794395455088
log_z_inicio,log z del encendido,30,1.002973679343701,0.8719403344870771,1.1536984374601726,0.8962667844847587,1.153723378501681,0.8472014949342983,1.2436377984769866
log_base_previa,log base previa,3,0.8101537070572387,0.7391941593807708,0.8879250745276656,0.7201758752057749,0.950233084880984,0.7262628138905365,0.910088248523578
log_base_previa,log base previa,7,0.766830911932416,0.725374508019414,0.8106566208132623,0.7130468124074839,0.8690007557594406,0.6964603442708462,0.8322998093277363
log_base_previa,log base previa,14,0.733118401674214,0.6963308374203941,0.7718494744027447,0.6774876071944025,0.8139537304397808,0.6589850600794435,0.7825386229970718
log_base_previa,log base previa,30,0.6977585180409388,0.6448106523237663,0.7550541352629918,0.6309670106956387,0.7796210333707884,0.6091753249549194,0.7761763722186124
log_amplitud,log amplitud,3,0.828624469324921,0.7442448214354414,0.9225707608414534,0.7348415372712251,0.9412265967602449,0.7424703744905672,0.9188940245080313
log_amplitud,log amplitud,7,0.8065272177504608,0.7559446202416672,0.8604944536338468,0.7457624513499141,0.8810831147163123,0.7173410563824942,0.8615285122572776
log_amplitud,log amplitud,14,0.7888890959103488,0.7450977294262915,0.8352541969567401,0.735667373188552,0.8572562935722328,0.6789236154110091,0.8782755119013783
log_amplitud,log amplitud,30,0.7699402609835957,0.7060590766277546,0.8396011397726497,0.7004950278680611,0.8532148337923082,0.6081117654651463,0.9343094868387479
desacoplado,Desacoplado,3,0.6174843743893392,0.5245724028344033,0.7268528625501447,0.5007603470399399,0.7316700808549486,0.4975077419332929,0.7384525806313187
desacoplado,Desacoplado,7,0.6678157054508743,0.6068097605040432,0.7349549158148014,0.59025510749115,0.7397344226102558,0.5742021730416634,0.7367281177033171
desacoplado,Desacoplado,14,0.7120262680613023,0.6444158323795387,0.7867302150806113,0.6347542267122843,0.7793618920513152,0.62984660538324,0.7925326278313458
desacoplado,Desacoplado,30,0.7640229699352611,0.649415315808859,0.8988563780046498,0.6342090692236165,0.8944277293863387,0.6468417786595129,0.9098592211059845
