t,HR,lo95,hi95,en_riesgo,muertes,extrapolado
1,5.754342017661089,3.3830519469057205,9.787745673401767,2648,0,True
2,4.061957807546084,2.6578280767915334,6.207888830116654,2648,0,True
3,3.3132470969970615,2.293016401158927,4.787408550680753,2648,250,False
4,2.8673132705085504,2.05542592427742,3.9998937904437906,2398,140,False
5,2.5631865548751316,1.8813927897251328,3.4920540521750887,2258,145,False
6,2.3388025725045214,1.745036936556963,3.1346026886664773,2113,122,False
7,2.16448423338504,1.6334888222588049,2.868089412509092,1990,165,False
8,2.02402038149215,1.5394898213028236,2.6610494256004564,1824,205,False
9,1.9077083517224473,1.4585691166191994,2.4951516618336105,1619,170,False
10,1.8093390359518586,1.3877847050414558,2.3589449682841184,1448,128,False
11,1.7247300647432404,1.3250972611773817,2.2448871365005565,1320,101,False
12,1.650947639284574,1.2690325098495092,2.1478000654077274,1219,83,False
13,1.5858648938650652,1.2184873255851487,2.0640078963364705,1136,62,False
14,1.527897299834531,1.1726125087320158,1.9908282927716587,1073,102,False
15,1.4758369220906653,1.130738771071354,1.9262580149633894,971,104,False
16,1.4287446533419905,1.0923282032259236,1.868771014448599,865,84,False
17,1.3858778887627277,1.0569413674875312,1.8171845493445438,781,56,False
18,1.3466406428426965,1.0242143086452478,1.7705679423230005,725,42,False
19,1.3105483175546542,0.9938420593289498,1.728178915878273,683,39,False
20,1.2772022936811498,0.9655665207486896,1.6894182471442152,644,32,False
21,1.2462712645074603,0.9391673689183344,1.6537968802364582,612,42,False
22,1.2174772946917811,0.9144551033058006,1.6209116858024053,570,57,False
23,1.1905852528645933,0.8912656457811555,1.5904273333639785,513,44,False
24,1.1653946937216475,0.8694560835544553,1.562062555939906,469,52,False
25,1.1417335457170232,0.848901271267559,1.5355796174849974,417,30,False
26,1.1194531481753573,0.8294910885712123,1.5107761472378167,387,17,False
27,1.0984243096538373,0.8111282048871244,1.4874787447520814,370,16,False
28,1.078534148151668,0.7937262415656251,1.4655379245553994,354,28,False
29,1.0596835362663128,0.7772082489260156,1.444824084903366,326,30,False
30,1.0417850190259634,0.7615054353148019,1.4252242670050859,296,21,False
31,1.0247611044119522,0.7465560996923194,1.4066395299005658,275,27,False
32,1.0085428502199305,0.7323047299275282,1.388982808878489,248,17,False
33,0.9930686884052812,0.7187012370040157,1.3721771566750138,231,14,False
34,0.978283441145433,0.7057003014464323,1.3561542899411614,217,13,False
35,0.9641374927357503,0.6932608129748906,1.3408533808652576,204,18,False
36,0.9505860889681883,0.6813453880461213,1.3262200469736936,186,14,False
37,0.9375887414312036,0.6699199528037284,1.3122055021342187,172,14,False
38,0.9251087186543803,0.6589533812244176,1.2987658394591095,158,15,False
39,0.9131126095218912,0.6484171800516659,1.285861422736274,143,5,False
40,0.9015699471305678,0.6382852135564522,1.273456367632313,138,7,False
41,0.8904528834457626,0.6285334623343911,1.2615180975281668,131,6,False
42,0.8797359068420533,0.6191398112990624,1.250016961699426,125,7,False
43,0.8693955960047857,0.6100838628079559,1.238925905815091,118,11,False
44,0.8594104047874184,0.6013467714953323,1.2282201865327669,107,6,False
45,0.8497604735259533,0.5929110979127612,1.217877123415387,101,7,False
46,0.840427463049589,0.584760678514596,1.2078758825613105,94,3,False
47,0.8313944082303699,0.5768805098890981,1.1981972872850382,91,4,False
48,0.8226455884107351,0.569256645439767,1.1888236519555062,87,3,False
49,0.8141664124574729,0.5618761029764552,1.1797386357284687,84,2,False
50,0.8059433165301436,0.5547267818906135,1.1709271134266073,82,10,False
51,0.7979636729347365,0.5477973887705618,1.162375061247669,72,3,False
52,0.7902157086695344,0.5410773704666072,1.1540694553342663,69,3,False
53,0.7826884324683222,0.5345568537467837,1.1459981815328193,66,1,False
54,0.7753715693128626,0.5282265907957048,1.1381499549143481,65,2,False
55,0.7682555015274657,0.5220779099046228,1.1305142478352384,63,6,False
56,0.7613312156878742,0.5161026707828096,1.1230812254887534,57,6,False
57,0.7545902546781986,0.5102932239909419,1.1158416880436883,51,0,False
58,0.7480246743162056,0.5046423740580424,1.1087870185897406,51,6,False
59,0.7416270040412918,0.499143345896151,1.101909136213737,45,3,False
60,0.7353902112229804,0.4937897541725189,1.0952004536198559,42,0,False
