t,en_riesgo,muertes
1,2636,0
2,2636,0
3,2636,250
4,2386,140
5,2246,143
6,2103,122
7,1980,165
8,1814,204
9,1610,168
10,1441,126
11,1315,101
12,1214,83
13,1131,62
14,1068,102
15,966,104
16,860,84
17,776,56
18,720,41
19,679,39
20,640,31
21,609,42
22,567,57
23,510,44
24,466,52
25,414,30
26,384,17
27,367,16
28,351,28
29,323,29
30,294,21
31,273,27
32,246,17
33,229,14
34,215,13
35,202,18
36,184,14
37,170,14
38,156,15
39,141,5
40,136,7
41,129,6
42,123,7
43,116,11
44,105,5
45,100,7
46,93,3
47,90,4
48,86,3
49,83,2
50,81,10
51,71,3
52,68,2
53,66,1
54,65,2
55,63,6
56,57,6
57,51,0
58,51,6
59,45,3
60,42,0
61,42,1
62,41,1
63,40,2
64,38,2
65,36,2
66,34,3
67,31,1
68,30,0
69,30,1
70,29,1
71,28,2
72,26,0
73,26,0
74,26,1
75,25,0
76,25,1
77,24,1
78,23,0
79,23,0
80,23,0
81,23,0
82,23,1
83,22,1
84,21,1
85,20,0
86,20,0
87,20,1
88,19,1
89,18,0
90,18,0
91,18,1
92,17,0
93,17,1
94,16,4
95,12,1
96,11,0
97,11,1
98,10,0
99,10,1
100,9,0
101,9,0
102,9,0
103,9,0
104,9,1
105,8,0
106,8,0
107,8,0
108,8,2
109,6,0
110,6,1
111,5,0
112,5,0
113,5,0
114,5,0
115,5,0
116,5,0
117,5,0
118,5,0
119,5,0
120,5,0
121,5,1
122,4,1
123,3,0
124,3,0
125,3,0
126,3,0
127,3,0
128,3,0
129,3,0
130,3,0
131,3,0
132,3,0
133,3,0
134,3,0
135,3,0
136,3,0
137,3,0
138,3,0
139,3,0
140,3,0
141,3,0
142,3,0
143,3,0
144,3,0
145,3,0
146,3,0
147,3,0
148,3,0
149,3,0
150,3,0
151,3,0
152,3,0
153,3,0
154,3,0
155,3,0
156,3,0
157,3,0
158,3,0
159,3,0
160,3,0
161,3,0
162,3,0
163,3,0
164,3,0
165,3,0
166,3,0
167,3,0
168,3,0
169,3,0
170,3,1
171,2,0
172,2,0
173,2,0
174,2,0
175,2,1
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,0
237,1,0
238,1,0
239,1,0
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,1,1
