diseno,modelo,covariables,log_verosimilitud_parcial,AIC_parcial,concordancia_startstop,eventos,filas,HR_log1p_n_lag,lo_log1p_n_lag,hi_log1p_n_lag,p_log1p_n_lag,HR_log_z_inicio,lo_log_z_inicio,hi_log_z_inicio,p_log_z_inicio,HR_log_base_previa,lo_log_base_previa,hi_log_base_previa,p_log_base_previa,HR_sin_direccion_lag,lo_sin_direccion_lag,hi_sin_direccion_lag,p_sin_direccion_lag,HR_b_duro_lag,lo_b_duro_lag,hi_b_duro_lag,p_b_duro_lag,HR_d_duro_lag,lo_d_duro_lag,hi_d_duro_lag,p_d_duro_lag,de,a,estadistico,gl,p,ic_lo,ic_hi
sin entrada retardada (prospectivo.py),P0 volumen + encendido,3.0,-17881.14137029272,35768.28274058544,0.6907770165439319,2648.0,40198.0,1.2685037203311358,1.2396247618240628,1.2980554584325967,4.198286138467956e-91,1.2028230787200591,1.1271876446285425,1.2835337271447647,2.5023094365821763e-08,0.9488600209281488,0.9168709820155013,0.9819651368359538,0.0026990783695576438,,,,,,,,,,,,,,,,,,,
sin entrada retardada (prospectivo.py),P1 P0 + silencio,4.0,-17854.37910423066,35716.75820846132,0.6896745261952065,2648.0,40198.0,1.3610569106056654,1.3219664172307146,1.4013033082852793,1.7493393645499028e-95,1.172982406122088,1.0990571424162083,1.2518800633488083,1.5569529051298506e-06,0.9154998217470347,0.8834766711261115,0.948683707234203,1.1748638807231955e-06,1.8336760863670878,1.5635444224968822,2.150478068506061,8.865051664376279e-14,,,,,,,,,,,,,,,
sin entrada retardada (prospectivo.py),P2 P1 + B y D (= I1),6.0,-17769.45948849851,35550.91897699702,0.6984690390935664,2648.0,40198.0,1.3947877718861759,1.3494736130517326,1.4416235410515021,8.690610505088079e-87,1.1519840198861806,1.0789004316680564,1.230018214026835,2.3276184351890113e-05,0.8622400261671808,0.8306984957359872,0.894979185036428,6.42108100243377e-15,1.568661313890445,1.3327678102810692,1.8463068350799658,6.136032870345164e-08,0.8672446418271286,0.7981999867873946,0.9422616903377554,0.0007654717999370846,1.7645172159557232,1.364536183133939,2.281743088888484,1.4927301670249963e-05,,,,,,,
sin entrada retardada (prospectivo.py),referencia I2 (retrospectivo),10.0,-17661.197024451838,35342.394048903676,0.7111579915304348,2648.0,40198.0,,,,,,,,,,,,,,,,,,,,,1.64250994470883,,,,,,,,,,
CON entrada retardada al dia de elegibilidad,P0 volumen + encendido,3.0,-13822.831544634484,27651.663089268968,0.5877356118012023,2197.0,23126.0,1.144900554753268,1.1172627954562468,1.1732219900324006,1.917916625808876e-27,0.97974418672038,0.9092803785843282,1.0556685198759694,0.5910117341108109,0.8460602064157704,0.813841544229212,0.8795543530015367,3.204815692639279e-17,,,,,,,,,,,,,,,,,,,
CON entrada retardada al dia de elegibilidad,P1 P0 + silencio,4.0,-13813.433973955413,27634.867947910825,0.5896982397078135,2197.0,23126.0,1.2035378389809848,1.1645497674294747,1.2438311958589099,2.8460770339990755e-28,0.9715418127431499,0.9017116574026055,1.0467797395756704,0.44807210941681586,0.8313130563224177,0.7990493863589152,0.8648794547746523,5.814064771809919e-20,1.4806444949862647,1.2416393485436696,1.7656561247873706,1.2448762834840634e-05,,,,,,,,,,,,,,,
CON entrada retardada al dia de elegibilidad,P2 P1 + B y D (= I1),6.0,-13758.80314437098,27529.60628874196,0.6050477475147429,2197.0,23126.0,1.2440616343745963,1.19867478638881,1.2911670185250506,1.0860887408441221e-30,0.9491645632727829,0.8803321131773322,1.0233789665143507,0.17436623887792682,0.7847432814459884,0.7528994786675375,0.8179339144509491,1.8933914333448686e-30,1.2568137193571756,1.051848450319777,1.501718926033691,0.011853856958380505,0.8143043322950777,0.7448158284070424,0.8902758511627015,6.367729102311181e-06,1.2804118042397654,0.9677230133527136,1.6941359932699944,0.08357753008129341,,,,,,,
CON entrada retardada al dia de elegibilidad,referencia I2 (retrospectivo),10.0,-13666.62412593161,27353.24825186322,0.6383727692701197,2197.0,23126.0,,,,,,,,,,,,,,,,,,,,,1.203095758605722,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 volumen + encendido,P1 P0 + silencio,18.795141358143155,1.0,1.4553740784369526e-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 P0 + silencio,P2 P1 + B y D (= I1),109.26165916886384,2.0,1.879888839983076e-24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 volumen + encendido,P2 P1 + B y D (= I1),128.056800527007,3.0,1.4184467164623288e-27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P2 - P0 (B, D y silencio)",diferencia de concordancia,0.017312135713540622,100.0,,0.008905099649960526,0.02666793397812829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2 - P1 (solo B y D),diferencia de concordancia,0.015349507806929341,100.0,,0.007267745972587461,0.025154710576942917
