replica,C_P0,C_P1,C_P2,dC_P2_P0,dC_P2_P1
1,0.5982259264378706,0.6010480794009229,0.6121984661879958,0.013972539750125135,0.011150386787072919
2,0.5914681646487991,0.5954859503147242,0.6146996676495738,0.0232315030007747,0.019213717334849667
3,0.5894477773736675,0.5894407152517117,0.6049399543080709,0.015492176934403412,0.015499239056359193
4,0.5892719606603997,0.5891026852719127,0.6063828811799623,0.017110920519562645,0.017280195908049634
5,0.5949890514653635,0.598751432010325,0.6126263431894314,0.017637291724067916,0.013874911179106442
6,0.5783940407243413,0.5794175267768835,0.5956759120167525,0.01728187129241121,0.016258385239869
7,0.5765526419386643,0.5818842473078947,0.5930553958814533,0.016502753942788995,0.011171148573558609
8,0.5812992709959489,0.5818800842874026,0.603426451043206,0.02212718004725711,0.02154636675580346
9,0.5934086384084624,0.5973195110367369,0.6116869203836004,0.018278281975138033,0.014367409346863536
10,0.5786559102535234,0.5816286468166675,0.5961213690610223,0.017465458807498946,0.014492722244354828
11,0.5956485096781604,0.5971825557051785,0.6161041009130287,0.020455591234868287,0.018921545207850166
12,0.5821471469590621,0.5880582452653452,0.6064672732258006,0.024320126266738518,0.018409027960455404
13,0.5769207952953058,0.5798095030019266,0.5881710566390721,0.011250261343766277,0.008361553637145525
14,0.5970761976141853,0.5990606494950144,0.6108721417148232,0.013795944100637891,0.011811492219808817
15,0.5869519171230718,0.58936746341071,0.600900534549397,0.013948617426325138,0.011533071138686957
16,0.591451737534229,0.5920485419953068,0.6156386982825848,0.0241869607483558,0.023590156287278008
17,0.5855341339534139,0.5883457787477647,0.5971784998086054,0.011644365855191463,0.008832721060840654
18,0.5842054714638508,0.5869698223829222,0.6012032888172896,0.01699781735343875,0.014233466434367403
19,0.5900310803614344,0.5923694938289665,0.6145581191228896,0.024527038761455233,0.02218862529392307
20,0.5836068003067473,0.5827702840376543,0.6053725238859108,0.02176572357916351,0.02260223984825649
21,0.5824154953652055,0.5835557293769581,0.6054818455893836,0.023066350224178023,0.02192611621242546
22,0.5925638857405018,0.5930226676744671,0.6076951408296687,0.015131255089166906,0.014672473155201593
23,0.5934489361912302,0.5967461295197938,0.614710294327247,0.021261358136016817,0.01796416480745322
