archivo,md5_anterior,md5_nuevo,cambio
benchmark_detector.csv,8d54bf544238e486960076bde55ecb48,da499a698655d74206ca3eeaf8b45bb9,si
benchmark_detector_bootstrap.csv,704fe86af031825f635b9a8c89971151,0f0039c383a939ecf383c791e4149511,si
calibracion_weibull.csv,7b2c80571fb69b830427a2a24e0c41a0,3096de5a6fd359782897c58d6ec08b1d,si
comparacion_cruce_v1_ajustado.csv,,8e0a1b6878efb1cf2712604ebd31dc72,nuevo
comparacion_cruce_v1_ajustado_conteos.csv,,1221d5f3ba8a5b24919c4dd2fc431a0a,nuevo
comparacion_cruce_v1_ajustado_covariables.csv,,a072036baeff2b8aacd4e1f342f4e170,nuevo
concordancias_evento.csv,6b5442d913592b4553f986c21ae508fb,60f4e33bfe9a8c715a38be5e45aa0f87,si
cox_integrado.csv,0d4d3c9a14c64f455434d0bf69cea06a,1f32e93606e39896e33c29dfc86f9d4b,si
cox_integrado_crsp_v2.csv,d551a4dd4cd43ae1a2cb44dbe5cca1dd,d551a4dd4cd43ae1a2cb44dbe5cca1dd,no
cox_integrado_crsp_v2_conteos.csv,7d5599ee57ae268713dd7ee72152b084,7d5599ee57ae268713dd7ee72152b084,no
cox_integrado_crsp_v2_covariables.csv,ebd9b235fcf5e41e8e00e74298d087da,ebd9b235fcf5e41e8e00e74298d087da,no
cox_interaccion_eras.csv,298c3cba895a6b7f0b7a9bf2d7c72e30,298c3cba895a6b7f0b7a9bf2d7c72e30,no
cox_modelo_A_predictivo.csv,900d75284a84e99d9de91a1ac2fca91f,d86784e74a8fec59d875f062aefc22ee,si
cox_modelo_B_descriptivo.csv,4d939f48fbcf0c2acdac4f60b6daded5,2fb45f9ec307222a186d4007bda43987,si
cox_ph_interacciones.csv,1db22bc19aec745d4989d611fbd8273b,cb76907a79cb6f3a90e466c8facf9c3f,si
cox_poblaciones_conteos.csv,bdbedee84bbd271ca9f58ccce9e82326,b0d2e0d88e83e1d43b335f0d4cc74f45,si
cox_poblaciones_contraste.csv,9c3b0dac98ac7cb6b8078dc22f012b51,a765a34c524f67921a43dce11937ac11,si
cox_poblaciones_equivalencia.csv,b8492a54da62a8d1f679f264c12800b2,a5f8d0879d6cbb51b77b676912497897,si
cox_poblaciones_interaccion.csv,349d519ace8f7761538da47bf22ea323,bdd414a78207bea1705133abc99f0ec5,si
cox_por_poblaciones.csv,6f9331ca7f8cfa006568df197d727eaa,3a3c3332a8449f49321f2a2be686141e,si
cox_por_poblaciones_v2.csv,c7f6a0d3a2ef28e6e16446bc1ece496f,212d2f33d0456b040162233ff26ecf77,si
cox_subpoblacion_precio.csv,18b300d33ce87753a5a0e27b34cfba6f,a2c393a5da7b742b8331d89762f35bbe,si
cox_tv_final.csv,c57fdacbbf07bde062060c9dceb4c434,9891906218951ff652c180e4495411d2,si
cox_tv_final_edades.csv,55ef38ce39a102f747e0bcb4e1a7887a,648365ab7c4b01b3bc2507c62c3986e3,si
cox_tv_probabilidades.csv,5432a672c81a73934f5fae735f8e0c77,6dee1d616da91cd36dfa0d891d5e7705,si
