sub,2020-2021,2022-2023,2024-2026,todo el periodo,comentarios leidos
wallstreetbets,0.19770378056259727,0.088499033716946,0.05754898917697017,0.13717459925864994,94096167
Superstonk,0.0994403711559519,0.07529179018534045,0.05453778400768408,0.08446520050228588,30444017
stocks,0.13639712347684455,0.10315158079907578,0.061575649887284506,0.10266240883955735,7577574
investing,0.10702528856486815,0.06559051170064034,0.021965402676062576,0.07037522307760684,4241237
WallStreetbetsELITE,0.18959388992503318,0.11699134660471461,0.055957016019232635,0.15847395966437153,3275169
pennystocks,0.13231441895361848,0.07885067801538422,0.025139464215523235,0.09233434056224388,3140630
StockMarket,0.08748465138470822,0.06434067879257482,0.04127908047670799,0.059534858285678574,2560080
Daytrading,0.15235899343002354,0.12921309092103805,0.03575529376677602,0.0772267990234564,2231544
options,0.059536654585920466,0.03662446096520871,0.013223447457736324,0.04086647512475427,1719380
Wallstreetbetsnew,0.2534200253754654,0.08949379718002297,0.06797541146143168,0.2452653840365621,1641263
Shortsqueeze,0.05124260759580214,0.0836703474468983,0.11129424949127216,0.07749739904473357,1400447
SPACs,0.0890120744075524,0.043325511230305064,0.04168756618179791,0.08304762734963174,1284829
Vitards,0.06312118205479147,0.052141509952207434,0.020097514567725055,0.059226270148369876,1109457
SatoshiStreetBets,0.2053957188541938,0.6457885724180835,0.25593726661687827,0.2686271853778356,1107360
SqueezePlays,0.055495463013040085,0.058660704780155434,0.04106679254189285,0.05653141423228067,84484
SecurityAnalysis,0.1087748042963772,0.05492537313432836,0.004807692307692308,0.10040654437283093,50425
