sub,2020-2021,2022-2023,2024-2026
wallstreetbets,0.6773851084541136,0.5326927836491409,0.7051216313714102
Superstonk,0.06032459265801251,0.26156588929157165,0.11461877687334741
Shortsqueeze,0.020967583057389872,0.07487981991215377,0.010574639922263788
WallStreetbetsELITE,0.07107899043083885,0.00555380401685448,0.0072952245255413885
pennystocks,0.0240652286519764,0.009832122717707987,0.06304528626982218
stocks,0.03295328605870339,0.05969620445557214,0.05358301575273247
Wallstreetbetsnew,0.04215221292235642,0.0020138701325909092,0.0013243418967194827
SPACs,0.02361821335457733,0.0030356961305143945,0.00044533670242108886
investing,0.011361904109132409,0.009372044278441936,0.014628694852309625
Vitards,0.009995202123200937,0.01376024778510229,0.0008362217556378525
StockMarket,0.007275468916612452,0.009852661933746652,0.011247506730288665
options,0.008424936824210064,0.00790349033167753,0.01106924240253641
SqueezePlays,0.0015715761942911633,0.0066998922718118775,0.0007869559777863201
SatoshiStreetBets,0.00647207736829154,0.00017047549312090306,6.028575447621727e-05
Daytrading,0.0021433138159750197,0.002822088283712299,0.005339502791619373
SecurityAnalysis,0.00021030506031803818,0.0001489093162803069,2.3336421087567977e-05
