covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),modelo
b_duro_lag,-0.1582448452756489,0.8536407464749737,0.043344681088382596,-0.2431988591302532,-0.0732908314210446,0.784115569726408,0.9293305122057554,0.0,-3.650848069523858,0.00026137582803964867,11.901586652263806,celda_R3 reproducida: + tasa global
d_duro_lag,0.5367389993202404,1.710420076847074,0.13398882457437064,0.2741257288236186,0.7993522698168622,1.3153801730443364,2.224099845226223,0.0,4.005849002894438,6.179511746513116e-05,13.98214762153555,celda_R3 reproducida: + tasa global
sin_direccion_lag,0.6254730233081727,1.8691298903594442,0.0868747398232187,0.4552016620883764,0.7957443845279689,1.5764912695018045,2.2160900060925517,0.0,7.19971103891588,6.034029708935505e-13,40.591943433831275,celda_R3 reproducida: + tasa global
log1p_n_lag,0.44266330480395744,1.5568480628231605,0.02054346329358615,0.402398856630808,0.4829277529771069,1.4954076670059326,1.6208128018823458,0.0,21.5476474671221,5.570632479115884e-103,339.68075263565675,celda_R3 reproducida: + tasa global
log_z_inicio,0.3112716641797367,1.3651600358967049,0.03777322203801846,0.23723750940518584,0.3853058189542875,1.2677421827127362,1.4700638260861503,0.0,8.240537803908921,1.714382853431877e-16,52.37316019225438,celda_R3 reproducida: + tasa global
log_base_previa,-0.3136396742949157,0.7307823003723484,0.02468063546963292,-0.362012830930958,-0.2652665176588734,0.6962734339480972,0.767001503287731,0.0,-12.707925396848808,5.343324742551386e-37,120.49360181067875,celda_R3 reproducida: + tasa global
log_amplitud,-0.29497390028570164,0.7445510197812162,0.02784587824673445,-0.3495508187671885,-0.24039698180421476,0.7050046934845126,0.7863156460949532,0.0,-10.593090211485569,3.2082248471166504e-26,84.6883552110477,celda_R3 reproducida: + tasa global
log_vol_ratio,-0.03234073718031891,0.9681766320936058,0.023299263455062762,-0.07800645441855218,0.013324980057914368,0.9249584564552513,1.0134141532414502,0.0,-1.388058349685363,0.16511927798344012,2.598419527467941,celda_R3 reproducida: + tasa global
ret_encendido_pico,-0.0012837295357032382,0.9987170940925808,0.002150182331028061,-0.005498009464712617,0.002930550393306141,0.9945170769282843,1.0029348486538407,0.0,-0.5970328735281961,0.550485432913919,0.8612237075571374,celda_R3 reproducida: + tasa global
desacoplado,-0.3595749443466006,0.6979729403719974,0.04418900830603487,-0.44618380913897027,-0.2729660795542309,0.6400661112476195,0.7611186046734227,0.0,-8.137203303055198,4.0451314029576734e-16,51.13466294995138,celda_R3 reproducida: + tasa global
