escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
E4 uniforme (referencia en todos los dias),1,0.8458815292236946,0.6406724739699214,1.1168195771673008,0.7021301161041537,2.070168353355618
E4 uniforme (referencia en todos los dias),2,0.9034863207253898,0.677931753948917,1.2040851117875357,0.7292203919727624,2.046880751805299
E4 uniforme (referencia en todos los dias),3,0.7729926372291615,0.5896139713496235,1.0134047804918516,0.6767367438082189,2.1198274732594533
E4 uniforme (referencia en todos los dias),4,0.8391229796959704,0.636446639426199,1.1063415712095894,0.692529310623122,1.9961382856537735
E4 uniforme (referencia en todos los dias),5,1.0806233313904692,0.8043515632222309,1.451786554211997,0.7575172379165414,2.1308841757544212
E4 uniforme (referencia en todos los dias),6,0.9774707855501986,0.731260942069646,1.3065775588943247,0.7506807562571651,2.100199440450433
E4 uniforme (referencia en todos los dias),7,0.8717840502933468,0.6586475448348391,1.1538909334831733,0.708863087463324,2.0526267180008153
E4 uniforme (referencia en todos los dias),8,0.9916297492554268,0.7484023917844672,1.3139048864659029,0.7118837268215826,2.0120715182918443
E4 uniforme (referencia en todos los dias),9,1.1203823039369685,0.8349172420932234,1.503450214811773,0.7432883390222029,2.1639961678412636
E4 uniforme (referencia en todos los dias),10,0.9198725201152169,0.6932135722698909,1.22064178647339,0.7283946851810413,2.107076878916075
E4 uniforme (referencia en todos los dias),11,0.9320705678487522,0.7069593958060446,1.2288620090541096,0.6955747197832488,1.9707734417198122
E4 uniforme (referencia en todos los dias),12,1.234954603973448,0.9156331217156529,1.6656375110345067,0.7725388708926348,2.2193833547108315
E4 uniforme (referencia en todos los dias),13,1.0716755577749602,0.7975744992628515,1.4399764563608144,0.7415319910606867,2.117025774357275
E4 uniforme (referencia en todos los dias),14,0.9484264516499551,0.7148812392202765,1.2582687652713147,0.7119016463351148,2.127710693045468
E4 uniforme (referencia en todos los dias),15,1.0242084147712593,0.7671520548777765,1.3673989011935637,0.7047708428825128,2.0341992149082353
E4 uniforme (referencia en todos los dias),16,0.9754897858811512,0.7321223515631737,1.2997558677544947,0.7168515853194695,2.002542800526944
E4 uniforme (referencia en todos los dias),17,1.0395786906952504,0.7776822814586628,1.3896727235711057,0.7470166598553285,1.9672132639209088
E4 uniforme (referencia en todos los dias),18,1.1056188904188367,0.8257193159480876,1.4803978873225616,0.773640221750746,2.0375753600137747
E4 uniforme (referencia en todos los dias),19,0.9686385382192895,0.7306117655152596,1.2842123026336691,0.7257391719072874,2.0766240476913427
E4 uniforme (referencia en todos los dias),20,1.0875356545857389,0.810031746871777,1.4601079581914842,0.7436188071920559,2.0769644382960015
volumen: venta degradada en alto,1,0.8464846264648593,0.637433820368357,1.1240950824154328,0.7327062437488355,2.1160784961812067
volumen: venta degradada en alto,2,0.8641307568938847,0.644245382069525,1.159064520744076,0.7695651428180044,2.1714168507622778
volumen: venta degradada en alto,3,0.78094393030178,0.5915067113586164,1.0310507227794405,0.7189893449469107,2.041524233933847
volumen: venta degradada en alto,4,1.0907679749115209,0.8062188608214915,1.4757466401620358,0.7855050804752348,2.1812449639140485
volumen: venta degradada en alto,5,0.7608096483586061,0.5757607407118981,1.0053330838776038,0.754788435675247,2.1832888978846556
volumen: venta degradada en alto,6,0.8141970154188396,0.6128620244884696,1.0816737755455725,0.7277813054111784,2.2326684404345363
volumen: venta degradada en alto,7,0.9795230171905862,0.7274084663853899,1.3190186608273722,0.7476248554927525,2.162923934188314
volumen: venta degradada en alto,8,0.703323590334721,0.529522318080068,0.934170394394076,0.7244075007084766,2.1966120840885646
volumen: venta degradada en alto,9,0.9738412270309115,0.7204294982670854,1.3163907609922474,0.7683989389747073,2.280489572108971
volumen: venta degradada en alto,10,0.9167833557987219,0.6806078634481776,1.2349133276412139,0.7806199889113304,2.261043783654286
volumen: venta degradada en alto,11,0.8238294597583558,0.6242924804658305,1.087142645478158,0.6996078602487692,2.060110805065013
volumen: venta degradada en alto,12,0.9117833391110498,0.679765796345251,1.2229930690102802,0.7598883330558613,2.116715943194832
volumen: venta degradada en alto,13,0.9170358778762985,0.6867580709439925,1.2245284575344089,0.7448023262667481,2.178972826016516
volumen: venta degradada en alto,14,1.0123210860481042,0.7517817041276286,1.3631536596741065,0.7577153809192974,2.1264739972202875
volumen: venta degradada en alto,15,0.8150520947069859,0.6112678369468215,1.086773877068946,0.7523437707071856,2.1788416490055558
volumen: venta degradada en alto,16,0.8492767204578232,0.633165075216852,1.1391515043127864,0.7813612674815008,2.1836469675207453
volumen: venta degradada en alto,17,0.8180354950434126,0.6179218704238256,1.0829557961622829,0.7265066692426093,2.1118704119625744
volumen: venta degradada en alto,18,0.9615451665254652,0.7135578310097794,1.2957171333402593,0.7635582211320897,2.1494924813121625
volumen: venta degradada en alto,19,0.9017727123546604,0.6715234695138645,1.2109688814542492,0.7539450104499595,2.2601215501708993
volumen: venta degradada en alto,20,0.82621031561192,0.6246345364611302,1.0928366040900572,0.7380763189719095,2.0985697522139666
volumen: compra degradada en alto,1,1.0602198423617462,0.8020319076271687,1.4015229362422044,0.7065695022642764,1.8851030080025355
volumen: compra degradada en alto,2,1.249214784801639,0.9369300221227237,1.6655860541552787,0.7328555184410855,1.9237268637987495
volumen: compra degradada en alto,3,1.2649984333252422,0.9470171845416652,1.6897486787315144,0.7371296690905533,1.8809036384917954
volumen: compra degradada en alto,4,1.103221524920885,0.8315081040185041,1.4637232363302115,0.74102189461938,1.8467518470009574
volumen: compra degradada en alto,5,1.162772608864999,0.8734472948334868,1.5479355742746537,0.7248596325532856,1.8885009661919598
volumen: compra degradada en alto,6,1.2890199853023263,0.9643056851951225,1.723076559662301,0.753349531440191,1.8335355212423394
volumen: compra degradada en alto,7,1.1259043888270595,0.849085994355558,1.4929709136730815,0.7350653946041106,1.9317423268885603
volumen: compra degradada en alto,8,1.2213144344766367,0.9183417522845436,1.6242416770775538,0.6932571941456026,1.8148186760782072
volumen: compra degradada en alto,9,1.1902341732109942,0.8935263601952668,1.5854679281869979,0.7090359013879679,1.774026599824938
volumen: compra degradada en alto,10,1.171424220710779,0.8789295111420987,1.5612568328542598,0.7465477865533484,1.8798712096966241
volumen: compra degradada en alto,11,1.1032397066730824,0.8238559107602937,1.4773673824308375,0.7585375571983051,1.9688430408376132
volumen: compra degradada en alto,12,1.265616809326386,0.9461810778124145,1.692895731705876,0.748108857753061,1.9397144773266173
volumen: compra degradada en alto,13,1.1808303143652545,0.8884251627950966,1.5694740420646285,0.7173284383531014,1.880924930466597
