escenario,filas,eventos,HR_d_duro_lag,lo_d_duro_lag,hi_d_duro_lag,p_d_duro_lag,HR_b_duro_lag,lo_b_duro_lag,hi_b_duro_lag,p_b_duro_lag,HR_sin_direccion_lag,lo_sin_direccion_lag,hi_sin_direccion_lag,p_sin_direccion_lag
base (conteos observados de v2b; referencia 1.73-1.79),39979,2636,1.7127269953452318,1.317890855838957,2.225854855572929,5.7102383196972515e-05,0.8530246660768133,0.7839052083817692,0.9282386099175983,0.00022674031657423502,1.8656670068722603,1.5758137765242102,2.2088354806804307,4.522420122743128e-13
"E1 inversion 3x3, matriz del patron de referencia",39979,2636,1.7096290602805793,1.4395545077095364,2.030372249263663,9.778754742741822e-10,0.9277238085743545,0.8993918600574006,0.9569482482760922,2.128150335314219e-06,1.3876384849791807,1.1992110267688445,1.605672831564512,1.0839804666953927e-05
"E2 inversion 2x2, matriz del archivo StockTwits 2020-22",39979,2636,1.1469763726252307,1.0120244210923337,1.2999239662028916,0.03178415940990201,0.888478893447895,0.8745168673876074,0.9026638290699965,1.7653666467725465e-48,2.187951889642617,1.8417959384324074,2.599166048473932,5.086589578934036e-19
"E3 inversion 2x2, matriz de StockEmotions 2020",39979,2636,1.1201428179742896,0.9848702001105862,1.2739952254809783,0.08402492353903043,0.8972334160675685,0.8841999840678849,0.9104589656342631,8.449459323824676e-48,2.206941082707574,1.8546173092208793,2.6261962068005307,4.644797626588303e-19
E4 replica 01 (v2b como verdad + error 3x3),39979,2636,0.8780326942396337,0.6655920285202137,1.1582792147732235,0.3574049018882741,0.6914005838422711,0.6162281732405973,0.7757431225897419,3.3004995948654014e-10,1.968466059005082,1.653493260927183,2.3434378095270874,2.6830150762750315e-14
E4 replica 02 (v2b como verdad + error 3x3),39979,2636,0.9400947266822832,0.7058133619097698,1.2521413490168776,0.6727238269089109,0.7175378426365115,0.636778225801925,0.8085398255681103,5.0805961654151365e-08,1.944840131521042,1.630312533962267,2.320047879397783,1.463727715691012e-13
E4 replica 03 (v2b como verdad + error 3x3),39979,2636,0.8164959681583615,0.6233741146127902,1.0694471432022172,0.14092706141204708,0.6675445345565958,0.596529421101286,0.7470137932068903,1.8888443354438204e-12,2.014769426070696,1.6931921386622355,2.397421856350235,2.8885871661235478e-15
E4 replica 04 (v2b como verdad + error 3x3),39979,2636,0.8874544265662041,0.6732765757834439,1.169764978553583,0.3968462532143625,0.6832644521590602,0.6089424889432279,0.7666574759701903,9.02916946856151e-11,1.8941100727251952,1.5901670916142854,2.256148417684192,8.213811364447841e-13
E4 replica 05 (v2b como verdad + error 3x3),39979,2636,1.1501967228084777,0.8565914047213015,1.5444382162459298,0.35207727526394605,0.7490605594481411,0.6616230282962262,0.8480534953048013,5.057168130131624e-06,2.030260947974669,1.6984482827686067,2.426897279528511,7.368610108200968e-15
E4 replica 06 (v2b como verdad + error 3x3),39979,2636,1.02268795904694,0.7657651806345341,1.3658112016962456,0.8792008426894277,0.7405721336266662,0.6558956079827795,0.8361804507139683,1.2476713585197892e-06,1.995303818566419,1.6704893836389478,2.3832760431635402,2.5349215260454456e-14
