ticker,date,close_prev,close,ret,s,fuente,factor_implicito
AAPL,2020-08-31,499.23001,129.03999,0.033912,0.2500000299814458,crsp,4.0
ACB,2020-05-11,0.6716,7.41,-0.080554,12.000001290364512,crsp,0.083
ACB,2024-02-20,0.393,3.47,-0.117048,9.99999608069318,crsp,0.1
ACIC,2023-08-15,9.92,8.24,0.039092,0.7993952039764743,crsp,1.251
ACRX,2022-10-26,0.2116,3.69,-0.128072,20.00000381571888,crsp,0.05
AEZS,2022-07-21,0.185,4.34,-0.061621,24.999983438951062,crsp,0.04
AEZS,2024-05-03,2.01,7.8,-0.029851,4.00000104615412,crsp,0.25
AEZS,2024-06-03,9.69,8.59,0.309315,0.6770570169537008,crsp,1.477
AGBA,2024-10-02,2.23,1.49,0.293895,0.516395406874266,crsp,1.937
AHT,2020-07-16,0.61,5.57,-0.086885,9.99999730700252,crsp,0.1
AHT,2021-07-19,1.82,16.76,-0.079121,10.000001312649337,crsp,0.1
AHT,2024-10-28,0.557,6.1,0.095153,9.999996377050492,crsp,0.1
AIRE,2026-01-02,0.4172,11.649999618530272,0.1175059381662282,24.988015797542815,yahoo,0.04
AMC,2022-08-22,18.02,10.46,-0.086571,0.635480315080472,crsp,1.574
AMC,2023-08-24,1.96,14.37,-0.266837,10.000003618651276,crsp,0.1
AMRN,2025-04-11,0.4515,9.3,0.0299,20.000006451614983,crsp_v2,0.05
AMTD,2022-01-31,39.97,3.96,0.015385,0.09757314292538986,crsp,10.249
AMTD,2022-11-22,1.01,2.0,-0.009901,2.0000000200000003,crsp,0.5
AMTD,2023-11-17,0.6602,1.91,-0.035646,3.0000007344504414,crsp,0.333
AMZN,2022-06-06,2447.0,124.79,0.019943,0.04999998956246712,crsp,20.0
ANET,2021-11-18,528.32001,132.55,0.003558,0.2500001072258193,crsp,4.0
ANET,2024-12-04,414.45999,105.43,0.017517,0.24999994922886476,crsp,4.0
APRN,2023-06-08,0.5245,5.35,-0.149984,11.999998420934787,crsp,0.083
ARVL,2023-04-14,0.11,4.07,-0.260001,50.000067567658874,crsp,0.02
ASRT,2021-05-18,0.4325,1.56,-0.098266,4.000000461538515,crsp,0.25
ASRT,2025-12-26,0.6599,9.94,0.004193,14.999993344318849,crsp_v2,0.067
ASST,2024-07-02,0.3217,1.63,0.013366,5.00000242024657,crsp,0.2
ASST,2026-01-02,0.738,17.299999237060547,0.1720866510021139,20.00000031013799,yahoo,0.05
ASTR,2023-09-14,0.1664,2.13,-0.146634,14.999989183106392,crsp,0.067
ATCH,2025-01-02,0.16,10.05,0.046877,59.999885373353315,crsp_v2,0.017
ATER,2024-03-22,0.2716,3.33,0.021723,12.000001435675848,crsp,0.083
ATNM,2020-08-11,0.3899,9.66,-0.174148,30.000028434809558,crsp,0.033
AUVI,2023-05-31,0.3779,1.93,0.021434,5.000001183938104,crsp,0.2
AUVI,2023-12-12,0.0842,2.06,-0.021377,24.999982827681702,crsp,0.04
AVCT,2022-10-03,0.2016,2.4,-0.206349,14.999996100001013,crsp,0.067
AVGO,2024-07-15,1700.67004,171.42,0.007956,0.09999996669944872,crsp,10.0
AXDX,2023-07-12,0.7501,6.95,-0.073457,10.000001376978608,crsp,0.1
AYRO,2023-09-18,0.4854,2.93,-0.245468,8.000003652151838,crsp,0.125
AYTU,2020-12-09,0.87,6.83,-0.214942,9.999993265011856,crsp,0.1
AYTU,2023-01-06,0.2151,3.86,-0.102743,20.000002000000197,crsp,0.05
BACK,2023-09-08,0.104,2.67,-0.144232,30.00004314612947,crsp,0.033
BBIG,2023-05-11,0.1411,2.34,-0.170801,20.000003606838256,crsp,0.05
BDRX,2023-07-05,0.0655,4.63,-0.116413,80.0000711879683,crsp,0.012
BDRX,2024-10-04,0.2403,5.55,-0.076154,24.99997817569473,crsp,0.04
BDRX,2025-07-31,0.8637,7.85,-0.09112,10.000004382167525,crsp_v2,0.1
BETS,2024-01-10,0.0058,6.61,0.139641,1000.0124358581284,crsp,0.001
BFRI,2023-07-05,0.54,9.46,-0.124074,19.99999830866822,crsp,0.05
BIOC,2020-09-08,0.5318,4.42,-0.16886,9.999994298645783,crsp,0.1
BIOC,2023-05-17,0.2103,5.39,-0.145666,30.000037814518905,crsp,0.033
BKKT,2024-04-29,0.3997,9.96,-0.003252,24.999988980928556,crsp,0.04
BMRA,2025-04-21,0.4801,3.68,-0.041866,7.999997680000672,crsp_v2,0.125
BNAI,2025-12-12,0.284,2.58,-0.091549,9.999996744187108,crsp_v2,0.1
BNED,2024-05-13,0.2908,0.1853,6.944635,0.08020603877819223,crsp,12.468
BNED,2024-06-12,0.0943,6.99,-0.258749,100.00004391990485,crsp,0.01
BNGO,2023-08-07,0.485,4.67,-0.037113,9.999995824412878,crsp,0.1
BNGO,2025-01-27,0.1215,5.82,-0.201644,59.99984288700934,crsp_v2,0.017
BODY,2023-11-22,0.1499,8.3,0.107404,50.00004228919239,crsp,0.02
BOXL,2023-06-15,0.3075,2.22,-0.097561,8.000000216216222,crsp,0.125
BOXL,2025-02-18,0.4479,2.23,-0.004242,4.99999990807175,crsp_v2,0.2
BOXL,2025-12-23,0.5403,2.64,-0.185637,5.999995515003353,crsp_v2,0.167
BTAI,2025-02-10,0.165,2.98,0.128788,15.999998281879378,crsp_v2,0.063
BURU,2026-01-02,0.1592,1.0,0.2578616088140497,4.993718697797114,yahoo,0.2
BYFC,2023-11-01,0.7753,6.57,0.059267,8.000002872695097,crsp,0.125
CBD,2021-03-08,17.05,3.87,-0.046921,0.23815389085349953,crsp,4.199
CBD,2023-08-29,4.0,1.1,-0.0625,0.29333333333333333,crsp,3.409
CEI,2022-12-21,0.084,3.91,-0.069049,50.00007416890798,crsp,0.02
CELH,2023-11-15,156.75999,51.59,-0.012695,0.33333350148196117,crsp,3.0
CGC,2023-12-20,0.5197,4.8,-0.07639,9.999997562500592,crsp,0.1
CHEK,2022-11-25,0.232,3.84,-0.172414,20.00000500000125,crsp,0.05
CHK,2020-04-15,0.1312,16.38,-0.375763,200.00025787579037,crsp,0.005
CHPT,2025-07-28,0.6106,9.91,-0.188503,19.9999972472254,crsp_v2,0.05
CJJD,2022-04-07,0.251,2.78,-0.077025,11.999996978418027,crsp,0.083
CJJD,2024-03-01,0.1609,2.91,-0.095711,19.999986240559295,crsp,0.05
CMG,2024-06-26,3283.04004,65.86,0.003034,0.01999999524153554,crsp,50.0
CNSP,2022-11-29,0.1671,4.05,-0.192101,30.000017133343114,crsp,0.033
CNSP,2024-06-05,0.1289,5.39,-0.163694,50.00007263461387,crsp,0.02
CNSP,2025-02-21,0.075,3.23,-0.138667,50.000019349852685,crsp_v2,0.02
CNSP,2025-07-22,0.7451,8.82,-0.013556,12.000009397558381,crsp_v2,0.083
COKE,2025-05-27,1143.55,112.93,-0.012461,0.09999998021341046,crsp_v2,10.0
COMS,2023-02-10,0.0558,4.35,-0.220431,100.00011448288969,crsp,0.01
COO,2024-02-20,372.01001,95.7,0.029005,0.2499998952847552,crsp,4.0
COSM,2022-12-16,0.33,23.01,1.789092,24.999990221646588,crsp,0.04
CRKN,2023-08-15,0.0436,2.176,-0.168194,59.99987602966792,crsp,0.017
CRKN,2024-06-25,0.0383,3.98,-0.307218,149.99877174372585,crsp,0.007
CRKN,2025-01-30,0.0609,6.63,-0.274216,149.99916652046838,crsp_v2,0.007
CRKN,2026-01-02,3.64,0.1099999994039535,-0.0090090271501837,0.03049450588750313,yahoo,32.793
CRWD,2026-01-02,468.76,113.3949966430664,-0.0323833579595435,0.25000000520822224,yahoo,4.0
CSX,2021-06-29,95.32,31.56,-0.006714,0.33333325756937365,crsp,3.0
CTRM,2021-05-28,0.3585,3.05,-0.149233,10.000001000000099,crsp,0.1
CTRM,2023-03-08,1.35,0.95,-0.011111,0.7116104069351602,crsp,1.405
CTRM,2024-03-27,0.3501,3.57,0.019709,9.999996613446525,crsp,0.1
CTXR,2024-11-26,0.1335,4.15,0.243446,24.99999382530273,crsp,0.04
CVNA,2026-01-02,422.02,80.05000305175781,-0.0515851892266845,0.19999999840911162,yahoo,5.0
CYN,2024-07-05,0.0537,4.23,-0.212291,100.00006312060724,crsp,0.01
CYN,2025-02-18,0.0924,8.88,-0.359304,149.99921351763726,crsp_v2,0.007
CZR,2020-07-21,12.37,38.4,0.004184,3.091350349555407,crsp,0.323
DARE,2024-07-01,0.3361,3.79,-0.0603,12.000006205807958,crsp,0.083
DELL,2021-11-02,111.51,54.61,0.022664,0.4788785589531053,crsp,2.088
DFLI,2024-11-22,0.3695,4.24,0.274996,9.000001702358814,crsp,0.111
DFLI,2025-12-18,0.4307,3.51,-0.185048,10.00000494587139,crsp_v2,0.1
DGLY,2023-02-08,0.298,5.35,-0.102349,20.000000149532713,crsp,0.05
DRUG,2023-07-14,0.591,3.68,0.245347,4.99999947690223,crsp,0.2
EBET,2023-10-02,0.0316,0.8308,-0.123629,30.000010544057627,crsp,0.033
EBON,2022-11-22,0.2211,6.04,-0.089402,30.00001721524167,crsp,0.033
EDU,2021-03-12,168.72,17.64,0.045519,0.1000000194557861,crsp,10.0
EDU,2022-04-08,1.19,12.03,0.010925,9.999993765589922,crsp,0.1
ETH,2024-11-20,2.92,28.93,-0.009246,9.999994192882736,crsp,0.1
