modelo,escenario,mediana_restante,mediana_total,C_dentro,C_fuera,n_tren,n_prueba
prospectivo (dia 3),mediano en todo,9.788813958650502,12.788813958650502,,,,
prospectivo (dia 3),"D alto (0.8), B en su mediana",6.261178744172522,9.261178744172522,,,,
prospectivo (dia 3),"D bajo (0.15), B en su mediana",12.02681861534979,15.02681861534979,,,,
prospectivo (dia 3),"B bajo (0.5), D en su mediana",11.656114482263984,14.656114482263984,,,,
prospectivo (dia 3),"B alto (2.0), D en su mediana",7.989885089237319,10.989885089237319,,,,
prospectivo (dia 3),"conjunto S6: debate temprano (D 0.8, B 0.5)",7.464035855381409,10.46403585538141,,,,
prospectivo (dia 3),"conjunto S6: coro unanime (D 0.15, B 2.0)",9.822475250546919,12.822475250546919,,,,
prospectivo (dia 3),validacion temporal,,,0.6199728705088519,0.6169213139801375,1732.0,666.0
retrospectivo de referencia (S6 + truncamiento),mediano en todo,10.998523919713309,13.998523919713309,,,,
retrospectivo de referencia (S6 + truncamiento),"D alto (0.8), B en su mediana",7.21960386759957,10.21960386759957,,,,
retrospectivo de referencia (S6 + truncamiento),"D bajo (0.15), B en su mediana",13.345952060586278,16.345952060586278,,,,
retrospectivo de referencia (S6 + truncamiento),"B bajo (0.5), D en su mediana",13.167332026301427,16.167332026301427,,,,
retrospectivo de referencia (S6 + truncamiento),"B alto (2.0), D en su mediana",8.917662662005272,11.917662662005272,,,,
retrospectivo de referencia (S6 + truncamiento),"conjunto S6: debate temprano (D 0.8, B 0.5)",8.659074713742072,11.659074713742072,,,,
retrospectivo de referencia (S6 + truncamiento),"conjunto S6: coro unanime (D 0.15, B 2.0)",10.831343520580742,13.831343520580742,,,,
retrospectivo de referencia (S6 + truncamiento),validacion temporal,,,0.6277736426559076,0.6361774255156608,1732.0,666.0
