evento_id,videos,c_w,v_w,b_w,d_w,c_s,v_s,b_s,d_s,rd_b
AMZN_2021-04-26,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.99309280313474
GOOG_2021-04-27,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.8787708462176849
GOOGL_2021-04-27,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.4170660197866443
NVDA_2021-05-21,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.3944061676552668
AMC_2021-05-27,4,0.0,1.0,-0.6931471805599453,0.0,1.0,1.0,0.0,1.0,1.2685345076873789
GME_2021-05-27,1,0.0,0.0,0.0,,0.0,0.0,0.0,,2.01393022729393
CRSR_2021-06-09,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,2.0523689624622024
AMZN_2021-07-06,2,0.0,0.0,0.0,,0.0,0.0,0.0,,1.2465996207876993
NFLX_2021-07-14,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.23638877806423034
TSLA_2021-07-26,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.7630036099589385
HOOD_2021-07-29,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.6407059451652902
AAPL_2021-09-10,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5711887734930812
TSLA_2021-09-27,6,3.0,0.0,1.3862943611198906,0.0,3.0,1.0,0.6931471805599453,0.5,0.5440218439278779
TWTR_2021-09-27,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.8146685383269359
PYPL_2021-10-20,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9694439307866008
GOOG_2021-10-21,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.672616814055632
GOOGL_2021-10-21,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.7112206067440427
MSFT_2021-10-26,2,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,1.024066003690997
AAPL_2021-10-28,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.7271930219696624
