ticker,n_dias,corr_k-3,corr_k-2,corr_k-1,corr_k+0,corr_k+1,corr_k+2,corr_k+3,mejor_rezago,mejor_corr,desfase_picos,coincide_rezago_y_pico
AAPL,70,0.025,0.005,0.391,0.901,0.452,0.047,0.07,0,0.901,-15,0
AMC,34,0.637,0.729,0.829,0.932,0.886,0.866,0.86,0,0.932,0,1
AMD,73,0.052,0.059,0.416,0.884,0.509,0.188,0.185,0,0.884,0,1
AMZN,50,-0.031,-0.043,0.287,0.813,0.428,-0.088,-0.152,0,0.813,0,1
APHA,23,-0.269,0.115,0.619,0.934,0.72,0.244,-0.254,0,0.934,0,1
ASTS,42,0.31,0.433,0.577,0.778,0.53,0.38,0.285,0,0.778,1,0
ATER,69,0.304,0.407,0.544,0.714,0.605,0.524,0.442,0,0.714,-10,0
BA,68,-0.045,0.116,0.456,0.797,0.517,0.125,-0.108,0,0.797,8,0
BABA,49,-0.056,0.157,0.454,0.853,0.475,0.165,0.117,0,0.853,-17,0
BB,33,0.513,0.596,0.765,0.918,0.815,0.67,0.605,0,0.918,1,0
BBBY,41,0.246,0.392,0.599,0.84,0.669,0.519,0.413,0,0.84,0,1
BYND,25,0.722,0.771,0.884,0.962,0.923,0.851,0.752,0,0.962,0,1
CLF,21,-0.164,0.221,0.649,0.929,0.765,0.357,0.043,0,0.929,0,1
CLNE,31,0.472,0.558,0.794,0.904,0.711,0.53,0.44,0,0.904,0,1
CLOV,24,0.12,0.251,0.614,0.919,0.744,0.382,0.092,0,0.919,0,1
COIN,55,0.162,0.117,0.353,0.697,0.616,0.328,0.16,0,0.697,0,1
CRSR,40,-0.293,-0.222,-0.115,-0.06,-0.116,-0.092,-0.067,0,-0.06,-13,0
DIS,45,-0.265,-0.316,0.006,0.414,0.183,0.16,0.049,0,0.414,-15,0
DJT,21,0.568,0.203,0.272,0.471,0.509,0.638,0.392,2,0.638,6,0
DKNG,26,-0.214,0.0,0.377,0.875,0.595,0.141,-0.127,0,0.875,-5,0
GME,37,0.624,0.718,0.845,0.973,0.896,0.852,0.751,0,0.973,0,1
GOOG,41,-0.205,0.032,0.553,0.923,0.616,0.218,-0.119,0,0.923,0,1
GOOGL,52,-0.258,-0.188,0.386,0.844,0.404,-0.018,-0.171,0,0.844,0,1
HOOD,135,0.199,0.35,0.55,0.783,0.651,0.376,0.144,0,0.783,0,1
INTC,57,0.417,0.483,0.697,0.934,0.758,0.5,0.429,0,0.934,0,1
META,42,-0.147,-0.085,0.022,0.335,0.274,-0.029,0.062,0,0.335,0,1
MSFT,107,0.208,0.29,0.555,0.858,0.605,0.309,0.174,0,0.858,0,1
MSTR,75,0.555,0.602,0.708,0.859,0.755,0.657,0.62,0,0.859,0,1
MVIS,25,0.252,0.388,0.65,0.882,0.711,0.386,0.24,0,0.882,0,1
NAKD,17,,0.423,0.628,0.902,0.748,0.56,,0,0.902,0,1
NFLX,18,0.162,0.437,0.737,0.93,0.849,0.638,0.414,0,0.93,0,1
NIO,28,-0.109,-0.035,0.466,0.924,0.459,-0.087,-0.148,0,0.924,0,1
NKLA,38,0.149,0.323,0.53,0.921,0.713,0.533,0.443,0,0.921,7,0
NOK,30,0.762,0.837,0.898,0.954,0.886,0.787,0.692,0,0.954,1,0
NVDA,65,-0.262,-0.039,0.456,0.889,0.484,0.102,-0.139,0,0.889,-28,0
PLTR,47,0.249,0.392,0.615,0.849,0.682,0.502,0.44,0,0.849,-2,0
PROG,85,0.618,0.702,0.807,0.923,0.839,0.68,0.598,0,0.923,21,0
PYPL,50,0.398,0.219,0.258,0.581,0.555,0.481,0.181,0,0.581,0,1
RDDT,261,-0.243,-0.091,0.242,0.539,0.275,-0.075,-0.246,0,0.539,-106,0
RKT,21,-0.016,0.219,0.637,0.95,0.741,0.31,0.119,0,0.95,-1,0
SMCI,50,0.309,0.376,0.641,0.914,0.728,0.534,0.518,0,0.914,0,1
SNDL,44,0.451,0.594,0.774,0.9,0.766,0.556,0.408,0,0.9,0,1
SPCE,30,0.046,0.315,0.663,0.952,0.669,0.293,-0.036,0,0.952,0,1
TLRY,23,-0.374,0.032,0.596,0.926,0.751,0.208,-0.317,0,0.926,0,1
TSLA,51,-0.103,0.025,0.447,0.939,0.632,0.136,-0.129,0,0.939,0,1
TWTR,42,-0.327,-0.232,-0.032,0.215,0.164,0.068,-0.072,0,0.215,-17,0
UNH,23,0.084,0.44,0.712,0.923,0.708,0.503,0.235,0,0.923,0,1
WISH,21,0.253,0.365,0.637,0.909,0.758,0.46,0.23,0,0.909,-1,0
WKHS,34,0.454,0.593,0.784,0.935,0.875,0.724,0.562,0,0.935,-6,0
WMT,23,0.125,0.298,0.621,0.94,0.687,0.285,0.008,0,0.94,-1,0
