ticker,fecha_inicio,fecha_fin,sesiones,pct_dias_positivos,max_pts,cierre_pts,caida_desde_max_pts,fraccion_devuelta,alt_max_pts,alt_cierre_pts,alt_caida_pts,alt_fraccion_devuelta
GME,2021-01-13,2021-02-04,16,60.0,1006.7,70.4,936.3,0.93,1641.9,168.2,1473.7,0.898
AMC,2021-01-15,2021-02-03,13,75.0,754.1,285.0,469.1,0.622,812.8,311.5,501.4,0.617
RDDT,2024-10-29,2025-07-02,168,51.5,175.5,94.9,80.6,0.459,182.7,100.0,82.7,0.453
NOK,2021-01-14,2021-01-29,11,50.0,60.1,11.5,48.7,0.809,64.6,14.6,50.0,0.774
BBBY,2022-08-05,2022-08-31,19,55.6,182.8,16.8,166.1,0.908,275.3,55.0,220.3,0.8
AAPL,2020-07-30,2020-09-23,39,55.3,31.5,-72.2,103.7,3.288,33.1,-71.8,104.9,3.168
PLTR,2020-11-06,2020-12-08,22,57.1,110.1,106.7,3.3,0.03,144.5,140.7,3.9,0.027
TSLA,2020-11-17,2020-12-23,26,64.0,57.4,46.3,11.1,0.193,70.3,58.3,12.0,0.171
NVDA,2024-05-22,2024-07-11,34,54.5,29.0,-86.6,115.5,3.991,28.4,-86.6,115.0,4.055
TWTR,2021-01-06,2021-02-02,19,44.4,1.4,1.4,0.0,0.0,0.2,0.2,0.0,0.0
SNDL,2021-01-05,2021-02-03,21,45.0,124.3,124.3,0.0,0.0,120.0,120.0,0.0,0.0
RKT,2021-02-25,2021-03-03,5,75.0,109.0,40.8,68.3,0.626,104.7,37.8,66.9,0.639
BB,2021-01-14,2021-02-01,12,81.8,175.5,60.6,114.9,0.655,237.4,96.6,140.7,0.593
CLNE,2021-06-02,2021-06-18,13,58.3,60.1,44.9,15.3,0.254,60.7,45.4,15.3,0.252
NIO,2020-11-05,2020-11-18,10,55.6,14.0,6.4,7.7,0.545,28.1,19.5,8.6,0.306
CLOV,2021-06-02,2021-06-11,8,71.4,153.4,72.0,81.5,0.531,186.5,94.4,92.1,0.494
MSFT,2021-10-26,2022-01-26,64,50.8,10.6,-4.3,15.0,1.406,11.4,-3.7,15.1,1.326
PROG,2021-09-14,2021-11-23,51,48.0,379.4,291.2,88.2,0.233,420.2,324.4,95.7,0.228
NKLA,2020-09-08,2020-10-01,18,47.1,0.0,-51.8,51.8,,40.8,-32.2,73.0,1.789
NAKD,2021-01-27,2021-01-29,3,100.0,19.6,19.6,0.0,0.0,321.2,321.2,0.0,0.0
WISH,2021-06-08,2021-06-14,5,50.0,0.0,-3.1,3.1,,49.9,45.2,4.6,0.093
TLRY,2021-02-03,2021-02-11,7,66.7,142.9,22.2,120.7,0.844,172.1,36.9,135.2,0.786
SPCE,2020-02-12,2020-02-27,11,50.0,61.8,-4.8,66.6,1.078,70.2,0.1,70.1,0.998
MVIS,2021-04-20,2021-04-30,9,62.5,154.6,46.8,107.8,0.697,151.8,45.2,106.6,0.702
SMCI,2024-01-19,2024-02-23,25,75.0,137.2,103.1,34.0,0.248,222.4,176.1,46.2,0.208
AMD,2024-12-09,2025-02-05,39,42.1,0.0,-14.4,14.4,,-5.6,-19.2,13.6,
WKHS,2021-05-28,2021-06-16,13,66.7,80.4,59.0,21.3,0.266,75.7,54.9,20.8,0.275
APHA,2021-02-03,2021-02-11,7,66.7,58.4,1.7,56.7,0.971,78.4,14.5,63.9,0.815
HOOD,2023-11-29,2024-03-28,83,61.0,125.7,125.7,0.0,0.0,133.0,133.0,0.0,0.0
AMZN,2020-07-01,2020-08-05,25,54.2,11.3,11.3,0.0,0.0,16.2,16.2,0.0,0.0
ATER,2021-08-27,2021-10-20,38,59.5,195.7,53.8,141.9,0.725,335.4,126.4,209.0,0.623
BABA,2020-11-03,2020-12-07,24,34.8,5.0,-7.6,12.6,2.5,-3.5,-15.1,11.6,
MSTR,2024-09-27,2024-11-26,43,50.0,168.9,100.7,68.2,0.404,185.5,113.1,72.4,0.39
BYND,2025-10-14,2025-10-24,9,37.5,363.6,179.8,183.8,0.505,249.8,111.1,138.6,0.555
BA,2020-03-11,2020-05-03,37,41.7,0.0,-29.5,29.5,,-18.2,-42.3,24.1,
CLF,2021-06-09,2021-06-15,5,50.0,5.3,-1.6,6.8,1.295,20.6,12.8,7.8,0.379
NFLX,2022-04-18,2022-04-21,4,33.3,3.2,-35.4,38.6,12.129,2.2,-36.0,38.2,17.432
UNH,2025-05-13,2025-05-21,7,50.0,3.3,-2.7,6.0,1.824,-15.1,-20.0,4.9,
INTC,2026-03-31,2026-05-12,30,69.0,193.3,173.3,20.0,0.104,214.3,192.8,21.4,0.1
DKNG,2020-05-28,2020-06-08,8,42.9,17.3,2.0,15.3,0.884,24.3,8.1,16.2,0.667
WMT,2020-07-07,2020-07-15,7,50.0,4.0,4.0,0.0,0.002,11.0,11.0,0.0,0.001
DIS,2020-05-05,2020-06-04,22,61.9,22.4,22.4,0.0,0.0,19.9,19.9,0.0,0.0
PYPL,2021-10-20,2021-11-24,26,32.0,0.0,-27.0,27.0,,-4.9,-30.5,25.6,
ASTS,2024-07-25,2024-08-21,20,57.9,132.0,119.0,13.0,0.098,188.9,172.8,16.2,0.086
META,2025-10-29,2025-11-25,20,36.8,0.0,-15.4,15.4,,0.0,-15.3,15.4,501.957
CRSR,2021-01-22,2021-02-16,17,50.0,19.8,4.3,15.5,0.782,25.2,9.0,16.2,0.643
DJT,2024-03-26,2024-04-01,4,33.3,14.2,-16.1,30.3,2.134,,,,
COIN,2021-10-01,2021-11-10,29,67.9,54.6,42.2,12.5,0.228,57.1,44.5,12.7,0.222
GOOGL,2025-09-02,2025-10-09,28,48.1,20.5,14.3,6.2,0.304,19.6,13.4,6.2,0.315
GOOG,2023-01-20,2023-02-15,19,50.0,9.6,-2.2,11.8,1.229,15.9,3.4,12.5,0.786
