ticker,evento_inicio,duracion_dias,tweets_ventana_estimados,costo_base_usd,costo_neto_min_usd
MSFT,2021-10-26,93,423333,63.5,21.17
GME,2021-01-13,23,226065,33.91,11.3
AMC,2021-01-15,20,164653,24.7,8.23
NVDA,2024-05-22,51,154818,23.22,7.74
AMD,2024-12-09,59,146938,22.04,7.35
MSTR,2024-09-27,61,128072,19.21,6.4
TSLA,2020-11-17,37,87517,13.13,4.38
AAPL,2020-07-30,56,83006,12.45,4.15
SNDL,2021-01-05,30,80674,12.1,4.03
NOK,2021-01-14,16,68702,10.31,3.44
PROG,2021-09-14,71,58556,8.78,2.93
SMCI,2024-01-19,36,52384,7.86,2.62
GOOGL,2025-09-02,38,50865,7.63,2.54
META,2025-10-29,28,49044,7.36,2.45
BBBY,2022-08-05,27,44661,6.7,2.23
COIN,2021-10-01,41,41190,6.18,2.06
RDDT,2024-10-29,247,41080,6.16,2.05
HOOD,2023-11-29,121,38794,5.82,1.94
AMZN,2020-07-01,36,35335,5.3,1.77
NKLA,2020-09-08,24,35212,5.28,1.76
NIO,2020-11-05,14,35037,5.26,1.75
ASTS,2024-07-25,28,28221,4.23,1.41
BA,2020-03-11,54,27877,4.18,1.39
WISH,2021-06-08,7,27661,4.15,1.38
DIS,2020-05-05,31,25522,3.83,1.28
BB,2021-01-14,19,25503,3.83,1.28
PYPL,2021-10-20,36,25151,3.77,1.26
BYND,2025-10-14,11,24342,3.65,1.22
INTC,2026-03-31,43,23601,3.54,1.18
GOOG,2023-01-20,27,21687,3.25,1.08
CLOV,2021-06-02,10,18982,2.85,0.95
ATER,2021-08-27,55,17386,2.61,0.87
PLTR,2020-11-06,33,17309,2.6,0.87
NAKD,2021-01-27,3,16442,2.47,0.82
BABA,2020-11-03,35,13918,2.09,0.7
UNH,2025-05-13,9,13769,2.07,0.69
TLRY,2021-02-03,9,12455,1.87,0.62
DJT,2024-03-26,7,12365,1.85,0.62
SPCE,2020-02-12,16,7401,1.11,0.37
NFLX,2022-04-18,4,6796,1.02,0.34
MVIS,2021-04-20,11,5760,0.86,0.29
TWTR,2021-01-06,28,4531,0.68,0.23
RKT,2021-02-25,7,4518,0.68,0.23
WKHS,2021-05-28,20,3681,0.55,0.18
DKNG,2020-05-28,12,2537,0.38,0.13
CLNE,2021-06-02,17,1976,0.3,0.1
APHA,2021-02-03,9,1871,0.28,0.09
CRSR,2021-01-22,26,1684,0.25,0.08
WMT,2020-07-07,9,1642,0.25,0.08
CLF,2021-06-09,7,948,0.14,0.05
