ticker,fecha_inicio,fecha_fin,duracion_dias,causa
RTX,2020-04-03,2020-06-16,75,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
DKNG,2020-04-24,2020-04-27,4,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
LK,2020-05-20,2020-05-27,8,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
SWBI,2020-06-01,2020-06-03,3,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
NKLA,2020-06-04,2020-06-10,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
LMND,2020-07-02,2020-07-06,5,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BIGC,2020-08-05,2020-08-07,3,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RKT,2020-08-06,2020-08-13,8,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FSDC,2020-08-13,2021-02-07,179,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CVAC,2020-08-14,2020-08-17,4,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
UTZ,2020-08-31,2020-09-04,5,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
PSTH,2020-09-11,2020-10-21,41,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
HYLN,2020-10-02,2020-10-13,12,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RIDE,2020-10-26,2020-11-20,26,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FSR,2020-10-30,2020-11-27,29,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
TLS,2020-11-19,2020-12-01,13,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
MP,2020-11-24,2021-05-05,163,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
VGAC,2020-11-27,2020-12-16,20,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
LAZR,2020-12-03,2020-12-09,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
NFLX,2020-12-11,2020-12-13,3,episodio sin dos sesiones bursatiles (fin de semana o feriado)
FGF,2020-12-17,2021-02-12,58,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GOEV,2020-12-22,2021-01-14,24,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
STIC,2020-12-23,2020-12-29,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RMO,2020-12-30,2021-01-19,21,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CLOV,2021-01-08,2021-01-28,21,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FPAC,2021-01-21,2021-03-17,56,hueco de precios en los 30 dias previos
CAP,2021-01-22,2021-02-04,14,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
UWMC,2021-01-22,2021-02-12,22,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FTCV,2021-01-25,2021-03-06,41,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CCV,2021-02-05,2021-02-25,21,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GHVI,2021-02-05,2021-02-25,21,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
YELL,2021-02-08,2021-08-27,201,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BFLY,2021-02-16,2021-03-04,17,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
FSII,2021-02-17,2021-11-23,280,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CHPT,2021-03-01,2021-04-29,60,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
IMCC,2021-03-01,2021-05-18,79,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
POW,2021-03-03,2021-03-31,29,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BIOT,2021-03-18,2021-05-20,64,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
UPC,2021-03-23,2022-02-10,325,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
ARVL,2021-03-31,2021-05-06,37,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
PSFE,2021-03-31,2021-05-18,49,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
